行号,常量,当前实参,当前hex,通道最大,语义角色,change_class,权威级,真源②,真源①(判据),目标实参,目标hex,目标通道最大,重复值组,备注
53,C01_TAB_ACTIVE,"Color(0.129, 0.400, 0.325, 0.34)",#216653,G,Tab 选中底,B,①判据,—,"C3-W: H→200°,S/V/α不变","Color(0.129, 0.310, 0.400, 0.34)",#214F66,B,,全族最饱和(V.400)；点缀感，但仍属底
54,C01_TAB_IDLE,"Color(0.075, 0.180, 0.153, 0.10)",#132E27,G,Tab 未选中底,B,②byte-dup,COLOR_BG_BASE(→#1B272B),—,"Color(0.075, 0.145, 0.180, 0.10)",#13252E,B,G2,★ == 旧 COLOR_BG_BASE + α0.10；G2 组
55,C01_TAB_BAR_BG,"Color(0.055, 0.145, 0.122, 0.94)",#0E251F,G,底部 Tab 栏背景,B,①判据,—,"C3-W: H→200°,S/V/α不变","Color(0.055, 0.115, 0.145, 0.94)",#0E1D25,B,,高频面；注释 hex #071214 系旧值
56,C01_TAB_ICON_BG_SEL,"Color(0.106, 0.298, 0.247, 0.85)",#1B4C3F,G,选中图标底,B,①判据,—,"C3-W: H→200°,S/V/α不变","Color(0.106, 0.234, 0.298, 0.85)",#1B3C4C,B,,COLOR-1 记「live-tree 死码」（本轮未复核上屏）
57,C01_TAB_ICON_BG_IDLE,"Color(0.063, 0.176, 0.145, 0.65)",#102D25,G,未选中图标底,B,①判据,—,"C3-W: H→200°,S/V/α不变","Color(0.063, 0.138, 0.176, 0.65)",#10232D,B,,同上＋α 参数
58,C01_CLOUD,"Color(0.780, 0.878, 0.839, 0.18)",#C7E0D6,G,云海高光叠加,C,—,—,—,—,—,—,,浅色高光（V .878），非「大底」⇒ 保留（点缀）
59,C01_SCENE_BASE,"Color(0.055, 0.082, 0.090)",#0E1517,B,底色/渐变终点,OK,②COLOR-2,COLOR-2 已落,—,—,—,—,,**已蓝灰** #0E1517（COLOR-2 第 7 行已改，B 最大）
112,C01_EYE_BG,"Color(0.055, 0.149, 0.125, 0.55)",#0E2620,G,隐藏UI开关底,B,①判据,—,"C3-W: H→200°,S/V/α不变","Color(0.055, 0.118, 0.149, 0.55)",#0E1E26,B,G1,G1 组
113,C01_EYE_BORDER,"Color(0.216, 0.400, 0.353, 0.80)",#37665A,G,隐藏UI开关描边,B,①判据,—,"C3-W: H→200°,S/V/α不变","Color(0.216, 0.339, 0.400, 0.80)",#375666,B,,
114,C01_EYE_ICON,"Color(0.878, 0.812, 0.616)",#E0CF9D,R,眼睛线条,OK,—,—,—,—,—,—,,金
116,C01_PANEL_A,"Color(0.055, 0.149, 0.125, 0.86)",#0E2620,G,顶部资源栏底（带α）,B,①判据,—,"C3-W: H→200°,S/V/α不变","Color(0.055, 0.118, 0.149, 0.86)",#0E1E26,B,G1,G1 组
117,C01_PANEL_LIGHT,"Color(0.098, 0.212, 0.180, 0.74)",#19362E,G,时间匾额底,B,①判据,—,"C3-W: H→200°,S/V/α不变","Color(0.098, 0.174, 0.212, 0.74)",#192C36,B,,
118,C01_PANEL_B,"Color(0.078, 0.204, 0.169, 0.55)",#14342B,G,次级面板/进度条底,B,①判据,—,"C3-W: H→200°,S/V/α不变","Color(0.078, 0.162, 0.204, 0.55)",#142934,B,G3,G3 组
119,C01_TEXT_JADE,"Color(0.435, 0.906, 0.769)",#6FE7C4,G,青玉点缀字,C,①RULING,RULING…致豆包:61,—,—,—,—,,真源明列「青绿点缀」⇒ **保留**，不作大底
120,C01_LINE_GOLD,"Color(0.847, 0.722, 0.416, 0.50)",#D8B86A,R,顶栏金描边,OK,—,—,—,—,—,—,,金
122,C01_SHADOW,"Color(0.031, 0.098, 0.078, 0.60)",#081914,G,山水文字 1px 投影,B,①判据,—,"C3-W: H→200°,S/V/α不变","Color(0.031, 0.076, 0.098, 0.60)",#081319,B,,深墨；与场景压暗同族
func:1567,获取场景压暗色(),"Color8(8, 28, 22)",#081C16,G,背景晕影/边界渐隐基色,B,①判据,—,"C3-W: H→200°,S/V/α不变","Color(0.031, 0.084, 0.110)",#08151C,B,,★ 单列 §5；铁律 :1563-1565 保留
func:1585,获取迷雾色(),"Color(0.078, 0.180, 0.153, clampf(a, 0.0, 1.0))",#142E27,G,大地图云雾（同族绿）,C,—,—,—,—,—,—,,**范围外·关联登记**（本批不动）
func:1580,获取地图底色(),"Color8(24, 52, 44)",#18342C,G,大地图画布底（同族绿）,C,—,—,—,—,—,—,,**范围外·关联登记**（本批不动）
