idx,id,element,personality,aptitude,gender,batch,status,run_command
17,jin_jiao_elite,金,狡黠,精英,女子,2,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 2 --out ../弟子立绘/output/production
18,jin_jiao_top,金,狡黠,顶级,女子,2,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 2 --out ../弟子立绘/output/production
19,mu_chen_common,木,沉稳,普通,女子,2,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 2 --out ../弟子立绘/output/production
20,mu_chen_elite,木,沉稳,精英,女子,2,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 2 --out ../弟子立绘/output/production
21,mu_chen_top,木,沉稳,顶级,女子,2,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 2 --out ../弟子立绘/output/production
22,mu_huo2_common,木,活泼,普通,男子,2,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 2 --out ../弟子立绘/output/production
23,mu_huo2_elite,木,活泼,精英,男子,2,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 2 --out ../弟子立绘/output/production
24,mu_huo2_top,木,活泼,顶级,男子,2,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 2 --out ../弟子立绘/output/production
25,mu_gu_common,木,孤傲,普通,女子,2,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 2 --out ../弟子立绘/output/production
26,mu_gu_elite,木,孤傲,精英,女子,2,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 2 --out ../弟子立绘/output/production
27,mu_gu_top,木,孤傲,顶级,女子,2,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 2 --out ../弟子立绘/output/production
28,mu_bao_common,木,暴躁,普通,男子,2,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 2 --out ../弟子立绘/output/production
29,mu_bao_elite,木,暴躁,精英,男子,2,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 2 --out ../弟子立绘/output/production
30,mu_bao_top,木,暴躁,顶级,男子,2,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 2 --out ../弟子立绘/output/production
31,mu_wen_common,木,温润,普通,女子,3,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 3 --out ../弟子立绘/output/production
32,mu_wen_elite,木,温润,精英,女子,3,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 3 --out ../弟子立绘/output/production
33,mu_wen_top,木,温润,顶级,女子,3,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 3 --out ../弟子立绘/output/production
34,mu_jiao_common,木,狡黠,普通,男子,3,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 3 --out ../弟子立绘/output/production
35,mu_jiao_elite,木,狡黠,精英,男子,3,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 3 --out ../弟子立绘/output/production
36,mu_jiao_top,木,狡黠,顶级,男子,3,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 3 --out ../弟子立绘/output/production
37,shui_chen_common,水,沉稳,普通,男子,3,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 3 --out ../弟子立绘/output/production
38,shui_chen_elite,水,沉稳,精英,男子,3,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 3 --out ../弟子立绘/output/production
39,shui_chen_top,水,沉稳,顶级,男子,3,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 3 --out ../弟子立绘/output/production
40,shui_huo2_common,水,活泼,普通,女子,3,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 3 --out ../弟子立绘/output/production
41,shui_huo2_elite,水,活泼,精英,女子,3,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 3 --out ../弟子立绘/output/production
42,shui_huo2_top,水,活泼,顶级,女子,3,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 3 --out ../弟子立绘/output/production
43,shui_gu_common,水,孤傲,普通,男子,3,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 3 --out ../弟子立绘/output/production
44,shui_gu_elite,水,孤傲,精英,男子,3,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 3 --out ../弟子立绘/output/production
45,shui_gu_top,水,孤傲,顶级,男子,3,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 3 --out ../弟子立绘/output/production
46,shui_bao_common,水,暴躁,普通,女子,4,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 4 --out ../弟子立绘/output/production
47,shui_bao_elite,水,暴躁,精英,女子,4,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 4 --out ../弟子立绘/output/production
48,shui_bao_top,水,暴躁,顶级,女子,4,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 4 --out ../弟子立绘/output/production
49,shui_wen_common,水,温润,普通,男子,4,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 4 --out ../弟子立绘/output/production
50,shui_wen_elite,水,温润,精英,男子,4,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 4 --out ../弟子立绘/output/production
51,shui_wen_top,水,温润,顶级,男子,4,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 4 --out ../弟子立绘/output/production
52,shui_jiao_common,水,狡黠,普通,女子,4,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 4 --out ../弟子立绘/output/production
53,shui_jiao_elite,水,狡黠,精英,女子,4,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 4 --out ../弟子立绘/output/production
54,shui_jiao_top,水,狡黠,顶级,女子,4,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 4 --out ../弟子立绘/output/production
55,huo_chen_common,火,沉稳,普通,女子,4,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 4 --out ../弟子立绘/output/production
56,huo_chen_elite,火,沉稳,精英,女子,4,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 4 --out ../弟子立绘/output/production
57,huo_chen_top,火,沉稳,顶级,女子,4,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 4 --out ../弟子立绘/output/production
58,huo_huo2_common,火,活泼,普通,男子,4,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 4 --out ../弟子立绘/output/production
59,huo_huo2_elite,火,活泼,精英,男子,4,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 4 --out ../弟子立绘/output/production
60,huo_huo2_top,火,活泼,顶级,男子,4,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 4 --out ../弟子立绘/output/production
61,huo_gu_common,火,孤傲,普通,女子,5,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 5 --out ../弟子立绘/output/production
62,huo_gu_elite,火,孤傲,精英,女子,5,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 5 --out ../弟子立绘/output/production
63,huo_gu_top,火,孤傲,顶级,女子,5,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 5 --out ../弟子立绘/output/production
64,huo_bao_common,火,暴躁,普通,男子,5,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 5 --out ../弟子立绘/output/production
65,huo_bao_elite,火,暴躁,精英,男子,5,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 5 --out ../弟子立绘/output/production
66,huo_bao_top,火,暴躁,顶级,男子,5,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 5 --out ../弟子立绘/output/production
67,huo_wen_common,火,温润,普通,女子,5,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 5 --out ../弟子立绘/output/production
68,huo_wen_elite,火,温润,精英,女子,5,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 5 --out ../弟子立绘/output/production
69,huo_wen_top,火,温润,顶级,女子,5,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 5 --out ../弟子立绘/output/production
70,huo_jiao_common,火,狡黠,普通,男子,5,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 5 --out ../弟子立绘/output/production
71,huo_jiao_elite,火,狡黠,精英,男子,5,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 5 --out ../弟子立绘/output/production
72,huo_jiao_top,火,狡黠,顶级,男子,5,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 5 --out ../弟子立绘/output/production
73,tu_chen_common,土,沉稳,普通,男子,5,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 5 --out ../弟子立绘/output/production
74,tu_chen_elite,土,沉稳,精英,男子,5,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 5 --out ../弟子立绘/output/production
75,tu_chen_top,土,沉稳,顶级,男子,5,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 5 --out ../弟子立绘/output/production
76,tu_huo2_common,土,活泼,普通,女子,6,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 6 --out ../弟子立绘/output/production
77,tu_huo2_elite,土,活泼,精英,女子,6,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 6 --out ../弟子立绘/output/production
78,tu_huo2_top,土,活泼,顶级,女子,6,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 6 --out ../弟子立绘/output/production
79,tu_gu_common,土,孤傲,普通,男子,6,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 6 --out ../弟子立绘/output/production
80,tu_gu_elite,土,孤傲,精英,男子,6,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 6 --out ../弟子立绘/output/production
81,tu_gu_top,土,孤傲,顶级,男子,6,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 6 --out ../弟子立绘/output/production
82,tu_bao_common,土,暴躁,普通,女子,6,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 6 --out ../弟子立绘/output/production
83,tu_bao_elite,土,暴躁,精英,女子,6,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 6 --out ../弟子立绘/output/production
84,tu_bao_top,土,暴躁,顶级,女子,6,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 6 --out ../弟子立绘/output/production
85,tu_wen_common,土,温润,普通,男子,6,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 6 --out ../弟子立绘/output/production
86,tu_wen_elite,土,温润,精英,男子,6,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 6 --out ../弟子立绘/output/production
87,tu_wen_top,土,温润,顶级,男子,6,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 6 --out ../弟子立绘/output/production
88,tu_jiao_common,土,狡黠,普通,女子,6,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 6 --out ../弟子立绘/output/production
89,tu_jiao_elite,土,狡黠,精英,女子,6,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 6 --out ../弟子立绘/output/production
90,tu_jiao_top,土,狡黠,顶级,女子,6,未产出,python batch_generate.py --backend comfyui --url http://127.0.0.1:8188 --crop-avatar --variants-per-base 1 --batch 6 --out ../弟子立绘/output/production
