页id	判定	改动占比	平均Δ	带上	带中	带下	主改前	主改后	ΔHue°	位移dx	位移dy	区域数	在预期表	线索
S40_药圃经营	COLOR_DELTA	0.00363	1.684	0.0109	0.0000	0.0000	#393731	#342F24	1.0	0	0	5	-	
S35_玄榜	COLOR_DELTA	0.00317	0.195	0.0022	0.0069	0.0004	#1F1F1D	#1F1E1C	-16.4	0	0	7	-	
S44_设置	COLOR_DELTA	0.00314	0.134	0.0026	0.0033	0.0036	#33302D	#2E2A22	3.1	0	0	13	-	
00_home	COLOR_DELTA	0.00310	0.118	0.0014	0.0046	0.0033	#272721	#1D1F23	165.3	0	0	12	-	
TAB_宗门	COLOR_DELTA	0.00297	0.117	0.0013	0.0045	0.0031	#272721	#1D1F22	163.5	0	0	10	-	
S13_宗主管理	COLOR_DELTA	0.00291	0.443	0.0008	0.0079	0.0000	#34322E	#2F2B23	-4.2	0	0	6	-	
S34_灵钓	COLOR_DELTA	0.00270	1.635	0.0081	0.0000	0.0000	#383631	#332E24	0.4	0	0	4	-	
S50_风水堪舆	COLOR_DELTA	0.00247	1.737	0.0074	0.0000	0.0000	#3A3732	#343024	1.6	0	0	7	-	
S49_音律	COLOR_DELTA	0.00241	1.736	0.0072	0.0000	0.0000	#373530	#332E24	-4.8	0	0	6	-	
S27_日供	COLOR_DELTA	0.00228	0.189	0.0037	0.0031	0.0000	#32302C	#2D2921	4.0	0	0	7	-	
S12_宗主	COLOR_DELTA	0.00195	1.546	0.0044	0.0014	0.0000	#14181D	#24342E	-59.3	0	0	6	-	
TAB_弟子	COLOR_DELTA	0.00194	0.083	0.0036	0.0010	0.0011	#2F2E2B	#2B2921	0.4	0	0	20	-	
S33_灵酿	COLOR_DELTA	0.00193	1.684	0.0058	0.0000	0.0000	#3A3732	#353024	1.6	0	0	7	-	
S29_毒道	COLOR_DELTA	0.00173	1.727	0.0052	0.0000	0.0000	#37342F	#342F24	3.2	0	0	5	-	
S18_宗门时令	COLOR_DELTA	0.00138	0.147	0.0018	0.0000	0.0024	#2B2D2F	#36373B	4.6	0	0	5	-	
S37_祖师堂	COLOR_DELTA	0.00111	0.136	0.0033	0.0000	0.0000	#35332F	#302C23	2.4	0	0	4	-	
S23_库藏	COLOR_DELTA	0.00111	0.146	0.0033	0.0000	0.0000	#15171B	#1C1B1B	161.5	0	0	6	-	
S14_宗务	COLOR_DELTA	0.00110	0.138	0.0008	0.0025	0.0000	#36342F	#312D23	1.9	0	0	4	-	
S08_功绩堂	COLOR_DELTA	0.00068	0.170	0.0020	0.0000	0.0000	#35332F	#302C23	3.3	0	0	4	-	
S05_全服拍卖	COLOR_DELTA	0.00066	0.224	0.0020	0.0000	0.0000	#35322E	#302C22	3.1	0	0	5	-	
TAB_历练	COLOR_DELTA	0.00065	0.054	0.0018	0.0000	0.0001	#32302C	#2E2A21	3.7	0	0	5	-	
S15_宗规	COLOR_DELTA	0.00064	0.149	0.0019	0.0000	0.0000	#36332F	#312D23	3.1	0	0	5	-	
S45_身外化身	COLOR_DELTA	0.00060	0.149	0.0018	0.0000	0.0000	#373430	#322E24	3.0	0	0	4	-	
S26_探遗迹	COLOR_DELTA	0.00056	1.716	0.0017	0.0000	0.0000	#1D2325	#1F2226	17.3	0	0	6	-	
S19_宗门气运	COLOR_DELTA	0.00052	0.162	0.0016	0.0000	0.0000	#1D2325	#1F2226	17.3	0	0	5	-	
S28_机缘	COLOR_DELTA	0.00050	1.723	0.0015	0.0000	0.0000	#302F2C	#2C2922	-10.8	0	0	4	-	
S38_科技	IDENTICAL	0.00037	1.709	0.0008	0.0003	0.0000	-	-	0.0	0	0	0	-	
S31_灵兽	IDENTICAL	0.00036	1.699	0.0008	0.0000	0.0002	-	-	0.0	0	0	0	-	
TAB_殿阁	IDENTICAL	0.00032	0.052	0.0008	0.0000	0.0001	-	-	0.0	0	0	0	-	
S42_装备图纸	IDENTICAL	0.00027	0.102	0.0008	0.0000	0.0000	-	-	0.0	0	0	0	-	
S47_闲情雅趣	IDENTICAL	0.00027	0.368	0.0008	0.0000	0.0000	-	-	0.0	0	0	0	-	
S04_入山采撷	IDENTICAL	0.00027	0.117	0.0008	0.0000	0.0000	-	-	0.0	0	0	0	-	
S22_幻形	IDENTICAL	0.00027	0.121	0.0008	0.0000	0.0000	-	-	0.0	0	0	0	-	
S41_藏书阁	IDENTICAL	0.00027	0.090	0.0008	0.0000	0.0000	-	-	0.0	0	0	0	-	
S51_飞升	IDENTICAL	0.00027	1.719	0.0008	0.0000	0.0000	-	-	0.0	0	0	0	-	
S03_傀儡	IDENTICAL	0.00027	0.093	0.0008	0.0000	0.0000	-	-	0.0	0	0	0	-	
S46_道友	IDENTICAL	0.00027	0.090	0.0008	0.0000	0.0000	-	-	0.0	0	0	0	-	
S01_丹方	IDENTICAL	0.00026	0.096	0.0008	0.0000	0.0000	-	-	0.0	0	0	0	-	
S16_宗门典藏	IDENTICAL	0.00026	0.199	0.0008	0.0000	0.0000	-	-	0.0	0	0	0	-	
S20_宗门舆图	IDENTICAL	0.00026	0.307	0.0008	0.0000	0.0000	-	-	0.0	0	0	0	-	
S21_家族	IDENTICAL	0.00026	1.719	0.0008	0.0000	0.0000	-	-	0.0	0	0	0	-	
S30_法宝	IDENTICAL	0.00026	1.704	0.0008	0.0000	0.0000	-	-	0.0	0	0	0	-	
S39_药园	IDENTICAL	0.00026	0.089	0.0008	0.0000	0.0000	-	-	0.0	0	0	0	-	
S24_护道人	IDENTICAL	0.00026	1.717	0.0008	0.0000	0.0000	-	-	0.0	0	0	0	-	
X04_宗主详情	IDENTICAL	0.00000	0.140	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
X05_玩家交易	IDENTICAL	0.00000	0.086	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
X06_离线管理	IDENTICAL	0.00000	0.026	0.0000	0.0000	0.0000	-	-	0.0	0	0	0	-	
