catch_id,名称,分层,品阶,五行,灵韵,重量区间_低,重量区间_高,长度区间_低,长度区间_高,钓获难度,描述,用途,掉落权重,最低钓具阶,最低钓道境界,所需灵渊,所需灵饵,累计钓获解锁,特殊条件
c065,定海神针,奇巧,仙阶,金,0,5,15,1.0,3.0,28,定海神针，大禹治水遗宝,收藏·炼器·法宝,0.02,3,4,3,瑶池聚仙饵,500,大禹遗迹
c066,龙宫玉玺,秘匣,仙阶,水,0,5,12,2.0,4.0,28,龙宫玉玺，号令水族,开启得仙材·法宝·特殊,0.01,3,4,3,瑶池聚仙饵,500,龙宫秘境
c067,灵鲷,灵鱼,凡阶,水,10,1,4,0.5,1.8,2,近海灵鲷，鳞色如霞，肉质鲜美,入膳·炼丹辅料,22,0,0,0,凡俗饵,0,近海灵渊
c068,银带鱼,灵鱼,凡阶,金,8,0.5,3,0.8,2.5,2,银鳞如带，游走如电,入膳,20,0,0,0,凡俗饵,0,近海灵渊
c069,青石斑,灵鱼,凡阶,水,12,1,5,0.6,2.0,3,青石斑纹，栖息岩礁,入膳·炼丹辅料,15,0,0,0,凡俗饵,0,岩礁灵渊
c070,金鲳鱼,灵鱼,凡阶,金,9,0.8,4,0.5,1.8,2,金鳞鲳鱼，体扁如盘,入膳,18,0,0,0,凡俗饵,0,近海灵渊
c071,墨乌贼,灵鱼,凡阶,水,7,0.3,2,0.2,0.8,2,喷墨乌贼，触手灵动,炼丹·炼器辅料,16,0,0,0,凡俗饵,0,浅海灵渊
c072,海鳗,灵鱼,凡阶,水,11,1,6,1.0,3.0,3,海鳗修长，齿锋利,入膳·炼丹辅料,14,0,0,0,凡俗饵,0,深海灵渊
c073,比目鱼,灵鱼,凡阶,水,6,0.5,3,0.3,1.2,1,双目同侧，潜伏沙底,入膳,20,0,0,0,凡俗饵,0,浅海灵渊
c074,灵虾,灵鱼,凡阶,水,8,0.2,1,0.1,0.5,2,灵虾透明，须长灵动,入膳·炼丹辅料,20,0,0,0,凡俗饵,0,浅海灵渊
c075,青蟹,灵鱼,凡阶,金,9,0.3,2,0.2,0.8,2,青壳蟹，螯足有力,入膳·炼器辅料,18,0,0,0,凡俗饵,0,岩礁灵渊
c076,海马,灵鱼,凡阶,水,7,0.1,0.5,0.1,0.3,1,海马直立，尾卷海藻,入膳·收藏,15,0,0,0,凡俗饵,0,海藻灵渊
c077,海星,灵鱼,凡阶,土,6,0.2,1,0.2,0.8,1,五星海星，色彩斑斓,收藏·炼丹辅料,16,0,0,0,凡俗饵,0,浅海灵渊
c078,海螺,灵鱼,凡阶,金,5,0.2,1.5,0.1,0.6,1,螺壳旋纹，可作号角,收藏·炼器,14,0,0,0,凡俗饵,0,浅海灵渊
c079,扇贝,灵鱼,凡阶,水,5,0.1,0.8,0.1,0.5,1,扇贝壳，珍珠层亮,入膳·收藏,18,0,0,0,凡俗饵,0,浅海灵渊
c080,章鱼,灵鱼,凡阶,水,10,0.5,3,0.3,1.0,3,八爪章鱼，善变色,入膳·炼丹辅料,12,0,0,0,凡俗饵,0,深海灵渊
c081,龙纹斑,灵鱼,灵阶,水,25,2,8,0.8,2.5,5,龙纹石斑，鳞有龙纹,炼丹·入膳,8,1,0,0,聚灵香饵,0,岩礁灵渊
c082,金焰鲷,灵鱼,灵阶,火,22,1,6,0.5,2.0,4,金焰鲷鱼，鳞如火焰,炼丹·入膳,10,1,0,0,聚灵香饵,0,火山灵渊
c083,深海鮟鱇,灵鱼,灵阶,水,28,1,5,0.5,1.8,5,深海鮟鱇，头顶发光,炼丹·炼器辅料,6,1,1,1,聚灵香饵,0,深海灵渊
c084,飞鱼,灵鱼,灵阶,金,20,0.5,3,0.3,1.2,3,飞鱼展翅，可跃水面,入膳·炼丹辅料,12,1,0,0,聚灵香饵,0,近海灵渊
c085,剑鱼,灵鱼,灵阶,金,24,2,8,1.0,3.0,5,剑鱼长吻，锋利如剑,炼丹·炼器辅料,8,1,0,0,聚灵香饵,0,开阔海洋
c086,灵龙虾,灵鱼,灵阶,水,26,0.5,2,0.3,1.0,4,灵龙虾，螯足有力,入膳·炼丹辅料,10,1,0,0,聚灵香饵,0,岩礁灵渊
c087,幻光水母,灵鱼,灵阶,水,30,0.3,1.5,0.2,0.8,6,幻光水母，触手发光,炼丹·收藏·特殊,5,1,1,1,聚灵香饵,0,深海灵渊
c088,龙纹石斑王,灵鱼,宝阶,水,40,3,10,1.0,3.0,7,龙纹石斑之王，鳞有龙纹,炼丹·炼器·入膳,5,2,1,1,聚灵香饵,0,龙宫秘境
c089,金焰鲷王,灵鱼,宝阶,火,38,2,8,0.8,2.5,6,金焰鲷之王，鳞如烈焰,炼丹·入膳,6,2,1,1,聚灵香饵,0,深海热泉
c090,深海皇带鱼,灵鱼,宝阶,水,42,3,12,2.0,6.0,7,深海皇带鱼，如银龙游海,炼丹·炼器·收藏,4,2,2,2,聚灵香饵,0,深海秘境
c091,灵珊瑚,灵鱼,宝阶,木,35,1,5,0.5,2.0,6,千年灵珊瑚，灵光流转,炼丹·炼器·收藏,5,2,1,1,聚灵香饵,0,珊瑚秘境
c092,千年灵蚌,灵鱼,宝阶,水,45,2,8,1.0,3.0,7,千年灵蚌，内含灵珠,炼丹·收藏·特殊,4,2,2,2,聚灵香饵,0,深海秘境
c093,灵海龙,灵鱼,宝阶,水,40,1,4,0.5,2.0,6,灵海龙，尾卷灵藻,炼丹·入膳·收藏,5,2,1,1,聚灵香饵,0,海藻秘境
c094,幻彩海兔,灵鱼,宝阶,水,36,0.3,1.5,0.2,0.8,5,幻彩海兔，色彩变幻,炼丹·收藏·特殊,6,2,1,1,聚灵香饵,0,珊瑚秘境
c095,龙纹石斑皇,灵鱼,王阶,水,60,5,15,1.5,4.0,8,龙纹石斑之皇，体型巨大,炼丹·炼器·入膳·收藏,3,3,2,2,聚灵香饵,50,龙宫秘境
c096,金焰鲷皇,灵鱼,王阶,火,58,3,12,1.0,3.5,7,金焰鲷之皇，鳞如烈焰,炼丹·入膳·收藏,3,3,2,2,聚灵香饵,50,深海热泉
c097,深海巨乌贼,灵鱼,王阶,水,65,5,20,2.0,6.0,9,深海巨乌贼，触手如柱,炼丹·炼器·收藏·特殊,2,3,3,3,聚灵香饵,50,深海秘境
c098,灵珊瑚皇,灵鱼,王阶,木,55,2,10,1.0,3.0,7,千年珊瑚皇，灵光万丈,炼丹·炼器·收藏,3,3,2,2,聚灵香饵,50,珊瑚秘境
c099,千年灵蚌王,灵鱼,王阶,水,62,3,15,1.5,4.0,8,千年灵蚌之王，内含多珠,炼丹·收藏·特殊,2,3,3,3,聚灵香饵,50,深海秘境
c100,海妖,灵鱼,王阶,水,70,8,25,1.5,4.5,9,深海海妖，善魅惑,收藏·契约·特殊,1.5,3,2,2,聚灵香饵,50,深海秘境
c101,剑鱼王,灵鱼,王阶,金,56,5,18,2.0,5.0,8,剑鱼之王，长吻如剑,炼丹·炼器·入膳,3,3,2,2,聚灵香饵,50,开阔海洋
c102,龙纹石斑圣,灵鱼,圣阶,水,120,8,25,2.0,6.0,10,龙纹石斑之圣，盘旋龙宫,炼丹·炼器·收藏·契约,1.5,3,3,3,聚宝凝香饵,200,龙宫秘境
c103,金焰鲷圣,灵鱼,圣阶,火,115,5,20,1.5,5.0,10,金焰鲷之圣，跃出热泉,炼丹·炼器·收藏·涅槃,1.5,3,3,3,聚宝凝香饵,200,深海热泉
c104,深海巨乌贼圣,灵鱼,圣阶,水,130,10,35,3.0,8.0,11,深海巨乌贼之圣，触手遮天,炼丹·炼器·收藏·特殊,1,3,3,3,聚宝凝香饵,200,深海秘境
c105,灵珊瑚圣,灵鱼,圣阶,木,110,3,15,1.5,4.0,9,灵珊瑚之圣，灵光万道,炼丹·炼器·收藏·祥瑞,1.5,3,3,3,聚宝凝香饵,200,珊瑚秘境
c106,千年灵蚌圣,灵鱼,圣阶,水,125,5,25,2.0,6.0,10,千年灵蚌之圣，灵珠如雨,炼丹·收藏·特殊,1,3,3,3,聚宝凝香饵,200,深海秘境
c107,海妖圣,灵鱼,圣阶,水,135,10,30,2.0,5.5,11,海妖之圣，歌动深海,收藏·契约·特殊,1,3,3,3,聚宝凝香饵,200,深海秘境
c108,剑鱼圣,灵鱼,圣阶,金,118,8,28,2.5,7.0,10,剑鱼之圣，破浪而行,炼丹·炼器·收藏·战斗,1.5,3,3,3,聚宝凝香饵,200,开阔海洋
c109,时空游鱼,灵鱼,神秘,水,300,0,0,0,0,30,时空游鱼，穿梭于过去未来之间,收藏·特殊·回溯,0.05,3,4,3,天机饵,1000,时空裂隙
c110,混沌孑遗,灵鱼,神秘,无,320,0,0,0,0,30,混沌初开之孑遗，形态无定,收藏·特殊·命名,0.03,3,4,3,天机饵,1000,混沌初开
c111,虚空噬灵,灵鱼,神秘,无,280,0,0,0,0,28,虚空噬灵，以灵气为食,收藏·特殊·吸灵,0.04,3,4,3,天机饵,1000,虚空裂隙
c112,轮回之鱼,灵鱼,神秘,水,310,0,0,0,0,30,轮回之鱼，承载前世记忆,收藏·特殊·剧情,0.04,3,4,3,天机饵,1000,轮回之河
c113,天道碎片,灵鱼,神秘,无,350,0,0,0,0,30,天道碎片，规则之化身,收藏·特殊·参悟,0.02,3,4,3,天机饵,1000,天道破碎
c114,太初古灵,灵鱼,神秘,无,330,0,0,0,0,30,太初古灵，存在无数纪元,收藏·特殊·秘闻,0.025,3,4,3,天机饵,1000,太初混沌
c115,因果之灵,灵鱼,神秘,无,340,0,0,0,0,30,因果之灵，编织天地因果,收藏·特殊·预知,0.02,3,4,3,天机饵,1000,因果之网
c116,梦境游鱼,灵鱼,神秘,水,290,0,0,0,0,28,梦境游鱼，只在梦中出现,收藏·特殊·副本,0.05,3,4,3,天机饵,1000,梦境世界
