图录ID,类别,匹配名,名称,描述,增益值,是否稀有,捐赠声望
LD21,灵钓,龙鲤,龙鲤,龙血之鲤，鳞泛龙纹,2,是,10
LD22,灵钓,凤鲤,凤鲤,凤血之鲤，尾如烈焰,2,是,10
LD23,灵钓,玄龟,玄龟,千年玄龟，寿元悠长,2,是,10
LD24,灵钓,灵鳖,灵鳖,土属灵鳖，甲坚如石,2,是,10
LD25,灵钓,金鳞龙鲤,金鳞龙鲤,金鳞龙鲤，贵气逼人,2,是,10
LD26,灵钓,蛟龙幼崽,蛟龙幼崽,蛟龙幼崽，已具龙形,3,是,15
LD27,灵钓,鲲鹏幼崽,鲲鹏幼崽,鲲鹏幼崽，化鱼之形,3,是,15
LD28,灵钓,鲛人,鲛人,深海鲛人，泣泪成珠,3,是,15
LD29,灵钓,玄龙幼崽,玄龙幼崽,玄龙幼崽，黑龙之血,3,是,15
LD30,灵钓,灵鲲,灵鲲,灵鲲之大，不知几千里,3,是,15
LD31,灵钓,真龙幼崽,真龙幼崽,真龙幼崽，五爪金龙,4,是,20
LD32,灵钓,神鲲,神鲲,神鲲化鹏，扶摇九天,4,是,20
LD33,灵钓,天鲛,天鲛,天界鲛人，歌动九天,4,是,20
LD34,灵钓,仙鲤,仙鲤,仙界之鲤，跃过龙门,5,是,25
LD35,灵钓,天龙,天龙,天龙降世，万灵朝拜,5,是,25
LD36,灵钓,破渔网,破渔网,破旧渔网，几无价值,0,否,0
LD37,灵钓,烂水草,烂水草,腐烂水草，可作肥料,0,否,0
LD38,灵钓,碎瓷片,碎瓷片,碎瓷残片，弃之无妨,0,否,0
LD39,灵钓,夜明珠,夜明珠,深海夜明珠，光华夺目,2,是,10
LD40,灵钓,珊瑚树,珊瑚树,千年珊瑚树，赤红如血,2,是,10
LD41,灵钓,鲛人泪,鲛人泪,鲛人泣泪，凝结成珠,3,是,15
LD42,灵钓,龙涎香,龙涎香,真龙涎香，奇香绝世,4,是,20
LD43,灵钓,上古宝箱,上古宝箱,上古宝箱，封印未解,3,是,15
LD44,灵钓,龙宫遗宝,龙宫遗宝,龙宫遗宝，灵气冲天,4,是,20
LD45,灵钓,应龙幼崽,应龙幼崽,应龙幼崽，生有双翼,4,是,20
LD46,灵钓,烛龙幼崽,烛龙幼崽,烛龙幼崽，睁眼为昼,4,是,20
LD47,灵钓,凤凰鱼,凤凰鱼,凤凰之鱼，尾如烈焰,4,是,20
LD48,灵钓,麒麟鱼,麒麟鱼,麒麟之鱼，仁兽之兆,4,是,20
LD49,灵钓,玄武幼崽,玄武幼崽,玄武幼崽，龟蛇合体,4,是,20
LD50,灵钓,白虎鱼,白虎鱼,白虎之鱼，杀伐之气,4,是,20
LD51,灵钓,朱雀鱼,朱雀鱼,朱雀之鱼，浴火重生,4,是,20
LD52,灵钓,青龙鱼,青龙鱼,青龙之鱼，东方神兽,4,是,20
LD53,灵钓,应龙,应龙,应龙真身，生翼飞龙,5,是,25
LD54,灵钓,烛龙,烛龙,烛龙真身，执掌昼夜,5,是,25
LD55,灵钓,鲲鹏真身,鲲鹏真身,鲲鹏真身，化鱼为鹏,5,是,25
LD56,灵钓,天鲛皇,天鲛皇,天鲛之皇，歌动九天,5,是,25
LD57,灵钓,蓬莱仙鲤,蓬莱仙鲤,蓬莱仙鲤，仙山灵物,5,是,25
LD58,灵钓,瑶池仙鱼,瑶池仙鱼,瑶池仙鱼，王母灵物,5,是,25
LD59,灵钓,北冥神鲲,北冥神鲲,北冥神鲲，不知几千里,5,是,25
LD60,灵钓,东海龙王,东海龙王,东海龙王，四海之主,5,是,25
LD61,灵钓,西海龙王,西海龙王,西海龙王，执掌西方,5,是,25
LD62,灵钓,南海龙王,南海龙王,南海龙王，执掌南方,5,是,25
LD63,灵钓,北海龙王,北海龙王,北海龙王，执掌北方,5,是,25
LD64,灵钓,混沌灵鱼,混沌灵鱼,混沌初开之灵鱼，先天而生,5,是,25
LD65,灵钓,定海神针,定海神针,定海神针，大禹治水遗宝,5,是,25
LD66,灵钓,龙宫玉玺,龙宫玉玺,龙宫玉玺，号令水族,5,是,25
