recipe_id,名称,品阶,产出名,产出类别,产出穿戴位,基础成功率,需求境界序,描述
gun_sheng,定海针配方,圣阶,定海针,fa_qi,wuqi,35,4,圣阶棍，圣铁锻造。
gun_xian,金箍棒配方,仙阶,金箍棒,fa_qi,wuqi,25,5,仙阶棍，仙金锻造。
gun_dao,创世棍配方,道阶,创世棍,fa_qi,wuqi,15,6,道阶棍，道金锻造。
shan_fan,凡铁扇配方,凡阶,凡铁扇,fa_qi,wuqi,75,0,凡阶扇，凡铁锻造。
shan_ling,逍遥扇配方,灵阶,逍遥扇,fa_qi,wuqi,65,1,灵阶扇，灵铁锻造。
shan_bao,阴阳扇配方,宝阶,阴阳扇,fa_qi,wuqi,55,2,宝阶扇，宝铁锻造。
shan_wang,八卦扇配方,王阶,八卦扇,fa_qi,wuqi,45,3,王阶扇，王铁锻造。
shan_sheng,万宝扇配方,圣阶,万宝扇,fa_qi,wuqi,35,4,圣阶扇，圣铁锻造。
shan_xian,混元扇配方,仙阶,混元扇,fa_qi,wuqi,25,5,仙阶扇，仙金锻造。
shan_dao,太极扇配方,道阶,太极扇,fa_qi,wuqi,15,6,道阶扇，道金锻造。
fuchen_fan,凡拂尘配方,凡阶,凡拂尘,fa_qi,wuqi,75,0,凡阶拂尘，凡铁锻造。
fuchen_ling,清心拂尘配方,灵阶,清心拂尘,fa_qi,wuqi,65,1,灵阶拂尘，灵铁锻造。
fuchen_bao,太乙拂尘配方,宝阶,太乙拂尘,fa_qi,wuqi,55,2,宝阶拂尘，宝铁锻造。
fuchen_wang,三清拂尘配方,王阶,三清拂尘,fa_qi,wuqi,45,3,王阶拂尘，王铁锻造。
fuchen_sheng,混元拂尘配方,圣阶,混元拂尘,fa_qi,wuqi,35,4,圣阶拂尘，圣铁锻造。
fuchen_xian,太极拂尘配方,仙阶,太极拂尘,fa_qi,wuqi,25,5,仙阶拂尘，仙金锻造。
fuchen_dao,天道拂尘配方,道阶,天道拂尘,fa_qi,wuqi,15,6,道阶拂尘，道金锻造。
qin_fan,凡木琴配方,凡阶,凡木琴,fa_qi,wuqi,75,0,凡阶琴，凡铁锻造。
qin_ling,七弦琴配方,灵阶,七弦琴,fa_qi,wuqi,65,1,灵阶琴，灵铁锻造。
qin_bao,伏羲琴配方,宝阶,伏羲琴,fa_qi,wuqi,55,2,宝阶琴，宝铁锻造。
qin_wang,神农琴配方,王阶,神农琴,fa_qi,wuqi,45,3,王阶琴，王铁锻造。
qin_sheng,焦尾琴配方,圣阶,焦尾琴,fa_qi,wuqi,35,4,圣阶琴，圣铁锻造。
qin_xian,号钟琴配方,仙阶,号钟琴,fa_qi,wuqi,25,5,仙阶琴，仙金锻造。
qin_dao,天籁琴配方,道阶,天籁琴,fa_qi,wuqi,15,6,道阶琴，道金锻造。
yin_fan,凡石印配方,凡阶,凡石印,fa_qi,wuqi,75,0,凡阶印，凡铁锻造。
yin_ling,镇山印配方,灵阶,镇山印,fa_qi,wuqi,65,1,灵阶印，灵铁锻造。
yin_bao,翻天印配方,宝阶,翻天印,fa_qi,wuqi,55,2,宝阶印，宝铁锻造。
yin_wang,崆峒印配方,王阶,崆峒印,fa_qi,wuqi,45,3,王阶印，王铁锻造。
yin_sheng,传国玺配方,圣阶,传国玺,fa_qi,wuqi,35,4,圣阶印，圣铁锻造。
yin_xian,天帝印配方,仙阶,天帝印,fa_qi,wuqi,25,5,仙阶印，仙金锻造。
yin_dao,创世印配方,道阶,创世印,fa_qi,wuqi,15,6,道阶印，道金锻造。
ta_fan,凡铁塔配方,凡阶,凡铁塔,fa_qi,wuqi,75,0,凡阶塔，凡铁锻造。
ta_ling,玲珑塔配方,灵阶,玲珑塔,fa_qi,wuqi,65,1,灵阶塔，灵铁锻造。
ta_bao,七宝塔配方,宝阶,七宝塔,fa_qi,wuqi,55,2,宝阶塔，宝铁锻造。
ta_wang,昊天塔配方,王阶,昊天塔,fa_qi,wuqi,45,3,王阶塔，王铁锻造。
ta_sheng,镇妖塔配方,圣阶,镇妖塔,fa_qi,wuqi,35,4,圣阶塔，圣铁锻造。
ta_xian,锁妖塔配方,仙阶,锁妖塔,fa_qi,wuqi,25,5,仙阶塔，仙金锻造。
ta_dao,混沌塔配方,道阶,混沌塔,fa_qi,wuqi,15,6,道阶塔，道金锻造。
ding_fan,凡铁鼎配方,凡阶,凡铁鼎,fa_qi,wuqi,75,0,凡阶鼎，凡铁锻造。
ding_ling,神农鼎配方,灵阶,神农鼎,fa_qi,wuqi,65,1,灵阶鼎，灵铁锻造。
ding_bao,炼妖壶配方,宝阶,炼妖壶,fa_qi,wuqi,55,2,宝阶鼎，宝铁锻造。
ding_wang,轩辕鼎配方,王阶,轩辕鼎,fa_qi,wuqi,45,3,王阶鼎，王铁锻造。
ding_sheng,造化鼎配方,圣阶,造化鼎,fa_qi,wuqi,35,4,圣阶鼎，圣铁锻造。
ding_xian,混沌鼎配方,仙阶,混沌鼎,fa_qi,wuqi,25,5,仙阶鼎，仙金锻造。
ding_dao,创世鼎配方,道阶,创世鼎,fa_qi,wuqi,15,6,道阶鼎，道金锻造。
zhong_fan,凡铁钟配方,凡阶,凡铁钟,fa_qi,wuqi,75,0,凡阶钟，凡铁锻造。
zhong_ling,东皇钟配方,灵阶,东皇钟,fa_qi,wuqi,65,1,灵阶钟，灵铁锻造。
zhong_bao,混沌钟配方,宝阶,混沌钟,fa_qi,wuqi,55,2,宝阶钟，宝铁锻造。
zhong_wang,镇魂钟配方,王阶,镇魂钟,fa_qi,wuqi,45,3,王阶钟，王铁锻造。
zhong_sheng,诛魔钟配方,圣阶,诛魔钟,fa_qi,wuqi,35,4,圣阶钟，圣铁锻造。
zhong_xian,天罚钟配方,仙阶,天罚钟,fa_qi,wuqi,25,5,仙阶钟，仙金锻造。
zhong_dao,创世钟配方,道阶,创世钟,fa_qi,wuqi,15,6,道阶钟，道金锻造。
jing_fan,凡铜镜配方,凡阶,凡铜镜,fa_qi,wuqi,75,0,凡阶镜，凡铁锻造。
jing_ling,照妖镜配方,灵阶,照妖镜,fa_qi,wuqi,65,1,灵阶镜，灵铁锻造。
jing_bao,昆仑镜配方,宝阶,昆仑镜,fa_qi,wuqi,55,2,宝阶镜，宝铁锻造。
jing_wang,天机镜配方,王阶,天机镜,fa_qi,wuqi,45,3,王阶镜，王铁锻造。
jing_sheng,阴阳镜配方,圣阶,阴阳镜,fa_qi,wuqi,35,4,圣阶镜，圣铁锻造。
jing_xian,太虚镜配方,仙阶,太虚镜,fa_qi,wuqi,25,5,仙阶镜，仙金锻造。
jing_dao,创世镜配方,道阶,创世镜,fa_qi,wuqi,15,6,道阶镜，道金锻造。
zhu_fan,凡木珠配方,凡阶,凡木珠,fa_qi,wuqi,75,0,凡阶珠，凡铁锻造。
zhu_ling,定海珠配方,灵阶,定海珠,fa_qi,wuqi,65,1,灵阶珠，灵铁锻造。
zhu_bao,混元珠配方,宝阶,混元珠,fa_qi,wuqi,55,2,宝阶珠，宝铁锻造。
zhu_wang,混沌珠配方,王阶,混沌珠,fa_qi,wuqi,45,3,王阶珠，王铁锻造。
zhu_sheng,创世珠配方,圣阶,创世珠,fa_qi,wuqi,35,4,圣阶珠，圣铁锻造。
zhu_xian,灭世珠配方,仙阶,灭世珠,fa_qi,wuqi,25,5,仙阶珠，仙金锻造。
zhu_dao,天道珠配方,道阶,天道珠,fa_qi,wuqi,15,6,道阶珠，道金锻造。
huan_fan,凡铁环配方,凡阶,凡铁环,fa_qi,wuqi,75,0,凡阶环，凡铁锻造。
huan_ling,乾坤圈配方,灵阶,乾坤圈,fa_qi,wuqi,65,1,灵阶环，灵铁锻造。
huan_bao,风火轮配方,宝阶,风火轮,fa_qi,wuqi,55,2,宝阶环，宝铁锻造。
huan_wang,混元环配方,王阶,混元环,fa_qi,wuqi,45,3,王阶环，王铁锻造。
huan_sheng,太极环配方,圣阶,太极环,fa_qi,wuqi,35,4,圣阶环，圣铁锻造。
huan_xian,阴阳环配方,仙阶,阴阳环,fa_qi,wuqi,25,5,仙阶环，仙金锻造。
huan_dao,天道环配方,道阶,天道环,fa_qi,wuqi,15,6,道阶环，道金锻造。
suo_fan,凡铁索配方,凡阶,凡铁索,fa_qi,wuqi,75,0,凡阶索，凡铁锻造。
suo_ling,捆仙索配方,灵阶,捆仙索,fa_qi,wuqi,65,1,灵阶索，灵铁锻造。
suo_bao,缚龙索配方,宝阶,缚龙索,fa_qi,wuqi,55,2,宝阶索，宝铁锻造。
suo_wang,混元索配方,王阶,混元索,fa_qi,wuqi,45,3,王阶索，王铁锻造。
suo_sheng,太极索配方,圣阶,太极索,fa_qi,wuqi,35,4,圣阶索，圣铁锻造。
suo_xian,阴阳索配方,仙阶,阴阳索,fa_qi,wuqi,25,5,仙阶索，仙金锻造。
suo_dao,天道索配方,道阶,天道索,fa_qi,wuqi,15,6,道阶索，道金锻造。
bian_fan,凡铁鞭配方,凡阶,凡铁鞭,fa_qi,wuqi,75,0,凡阶鞭，凡铁锻造。
bian_ling,打神鞭配方,灵阶,打神鞭,fa_qi,wuqi,65,1,灵阶鞭，灵铁锻造。
bian_bao,蛟龙鞭配方,宝阶,蛟龙鞭,fa_qi,wuqi,55,2,宝阶鞭，宝铁锻造。
bian_wang,混元鞭配方,王阶,混元鞭,fa_qi,wuqi,45,3,王阶鞭，王铁锻造。
bian_sheng,太极鞭配方,圣阶,太极鞭,fa_qi,wuqi,35,4,圣阶鞭，圣铁锻造。
bian_xian,阴阳鞭配方,仙阶,阴阳鞭,fa_qi,wuqi,25,5,仙阶鞭，仙金锻造。
bian_dao,天道鞭配方,道阶,天道鞭,fa_qi,wuqi,15,6,道阶鞭，道金锻造。
jian2_fan,凡铁锏配方,凡阶,凡铁锏,fa_qi,wuqi,75,0,凡阶锏，凡铁锻造。
jian2_ling,降龙锏配方,灵阶,降龙锏,fa_qi,wuqi,65,1,灵阶锏，灵铁锻造。
jian2_bao,伏虎锏配方,宝阶,伏虎锏,fa_qi,wuqi,55,2,宝阶锏，宝铁锻造。
jian2_wang,混元锏配方,王阶,混元锏,fa_qi,wuqi,45,3,王阶锏，王铁锻造。
jian2_sheng,太极锏配方,圣阶,太极锏,fa_qi,wuqi,35,4,圣阶锏，圣铁锻造。
jian2_xian,阴阳锏配方,仙阶,阴阳锏,fa_qi,wuqi,25,5,仙阶锏，仙金锻造。
jian2_dao,天道锏配方,道阶,天道锏,fa_qi,wuqi,15,6,道阶锏，道金锻造。
chui_fan,凡铁锤配方,凡阶,凡铁锤,fa_qi,wuqi,75,0,凡阶锤，凡铁锻造。
chui_ling,雷公锤配方,灵阶,雷公锤,fa_qi,wuqi,65,1,灵阶锤，灵铁锻造。
chui_bao,混元锤配方,宝阶,混元锤,fa_qi,wuqi,55,2,宝阶锤，宝铁锻造。
chui_wang,太极锤配方,王阶,太极锤,fa_qi,wuqi,45,3,王阶锤，王铁锻造。
chui_sheng,阴阳锤配方,圣阶,阴阳锤,fa_qi,wuqi,35,4,圣阶锤，圣铁锻造。
chui_xian,天道锤配方,仙阶,天道锤,fa_qi,wuqi,25,5,仙阶锤，仙金锻造。
chui_dao,创世锤配方,道阶,创世锤,fa_qi,wuqi,15,6,道阶锤，道金锻造。
fu_fan,凡铁斧配方,凡阶,凡铁斧,fa_qi,wuqi,75,0,凡阶斧，凡铁锻造。
fu_ling,开天斧配方,灵阶,开天斧,fa_qi,wuqi,65,1,灵阶斧，灵铁锻造。
fu_bao,刑天斧配方,宝阶,刑天斧,fa_qi,wuqi,55,2,宝阶斧，宝铁锻造。
fu_wang,混元斧配方,王阶,混元斧,fa_qi,wuqi,45,3,王阶斧，王铁锻造。
fu_sheng,太极斧配方,圣阶,太极斧,fa_qi,wuqi,35,4,圣阶斧，圣铁锻造。
fu_xian,阴阳斧配方,仙阶,阴阳斧,fa_qi,wuqi,25,5,仙阶斧，仙金锻造。
fu_dao,天道斧配方,道阶,天道斧,fa_qi,wuqi,15,6,道阶斧，道金锻造。
gou_fan,凡铁钩配方,凡阶,凡铁钩,fa_qi,wuqi,75,0,凡阶钩，凡铁锻造。
gou_ling,离别钩配方,灵阶,离别钩,fa_qi,wuqi,65,1,灵阶钩，灵铁锻造。
gou_bao,混元钩配方,宝阶,混元钩,fa_qi,wuqi,55,2,宝阶钩，宝铁锻造。
gou_wang,太极钩配方,王阶,太极钩,fa_qi,wuqi,45,3,王阶钩，王铁锻造。
gou_sheng,阴阳钩配方,圣阶,阴阳钩,fa_qi,wuqi,35,4,圣阶钩，圣铁锻造。
gou_xian,天道钩配方,仙阶,天道钩,fa_qi,wuqi,25,5,仙阶钩，仙金锻造。
gou_dao,创世钩配方,道阶,创世钩,fa_qi,wuqi,15,6,道阶钩，道金锻造。
yipao_fan,粗布道袍配方,凡阶,粗布道袍,fa_qi,yipao,75,0,凡阶衣袍，凡铁锻造。
yipao_ling,锁子甲配方,灵阶,锁子甲,fa_qi,yipao,65,1,灵阶衣袍，灵铁锻造。
yipao_bao,玄铁甲配方,宝阶,玄铁甲,fa_qi,yipao,55,2,宝阶衣袍，宝铁锻造。
yipao_wang,紫金甲配方,王阶,紫金甲,fa_qi,yipao,45,3,王阶衣袍，王铁锻造。
yipao_sheng,玄武甲配方,圣阶,玄武甲,fa_qi,yipao,35,4,圣阶衣袍，圣铁锻造。
yipao_xian,天地甲配方,仙阶,天地甲,fa_qi,yipao,25,5,仙阶衣袍，仙金锻造。
yipao_dao,混沌甲配方,道阶,混沌甲,fa_qi,yipao,15,6,道阶衣袍，道金锻造。
touku_fan,凡铁盔配方,凡阶,凡铁盔,fa_qi,touku,75,0,凡阶头盔，凡铁锻造。
touku_ling,青云盔配方,灵阶,青云盔,fa_qi,touku,65,1,灵阶头盔，灵铁锻造。
touku_bao,宝光盔配方,宝阶,宝光盔,fa_qi,touku,55,2,宝阶头盔，宝铁锻造。
touku_wang,紫金盔配方,王阶,紫金盔,fa_qi,touku,45,3,王阶头盔，王铁锻造。
touku_sheng,玄武盔配方,圣阶,玄武盔,fa_qi,touku,35,4,圣阶头盔，圣铁锻造。
touku_xian,天帝盔配方,仙阶,天帝盔,fa_qi,touku,25,5,仙阶头盔，仙金锻造。
touku_dao,混沌盔配方,道阶,混沌盔,fa_qi,touku,15,6,道阶头盔，道金锻造。
huwan_fan,凡铁腕配方,凡阶,凡铁腕,fa_qi,huwan,75,0,凡阶护腕，凡铁锻造。
huwan_ling,青云腕配方,灵阶,青云腕,fa_qi,huwan,65,1,灵阶护腕，灵铁锻造。
huwan_bao,宝光腕配方,宝阶,宝光腕,fa_qi,huwan,55,2,宝阶护腕，宝铁锻造。
huwan_wang,紫金腕配方,王阶,紫金腕,fa_qi,huwan,45,3,王阶护腕，王铁锻造。
huwan_sheng,玄武腕配方,圣阶,玄武腕,fa_qi,huwan,35,4,圣阶护腕，圣铁锻造。
huwan_xian,天帝腕配方,仙阶,天帝腕,fa_qi,huwan,25,5,仙阶护腕，仙金锻造。
huwan_dao,混沌腕配方,道阶,混沌腕,fa_qi,huwan,15,6,道阶护腕，道金锻造。
hutui_fan,凡铁腿配方,凡阶,凡铁腿,fa_qi,hutui,75,0,凡阶护腿，凡铁锻造。
hutui_ling,青云腿配方,灵阶,青云腿,fa_qi,hutui,65,1,灵阶护腿，灵铁锻造。
hutui_bao,宝光腿配方,宝阶,宝光腿,fa_qi,hutui,55,2,宝阶护腿，宝铁锻造。
hutui_wang,紫金腿配方,王阶,紫金腿,fa_qi,hutui,45,3,王阶护腿，王铁锻造。
hutui_sheng,玄武腿配方,圣阶,玄武腿,fa_qi,hutui,35,4,圣阶护腿，圣铁锻造。
hutui_xian,天帝腿配方,仙阶,天帝腿,fa_qi,hutui,25,5,仙阶护腿，仙金锻造。
hutui_dao,混沌腿配方,道阶,混沌腿,fa_qi,hutui,15,6,道阶护腿，道金锻造。
xuezi_fan,凡铁靴配方,凡阶,凡铁靴,fa_qi,xuezi,75,0,凡阶靴子，凡铁锻造。
xuezi_ling,青云靴配方,灵阶,青云靴,fa_qi,xuezi,65,1,灵阶靴子，灵铁锻造。
xuezi_bao,宝光靴配方,宝阶,宝光靴,fa_qi,xuezi,55,2,宝阶靴子，宝铁锻造。
xuezi_wang,紫金靴配方,王阶,紫金靴,fa_qi,xuezi,45,3,王阶靴子，王铁锻造。
xuezi_sheng,踏云靴配方,圣阶,踏云靴,fa_qi,xuezi,35,4,圣阶靴子，圣铁锻造。
xuezi_xian,天帝靴配方,仙阶,天帝靴,fa_qi,xuezi,25,5,仙阶靴子，仙金锻造。
xuezi_dao,混沌靴配方,道阶,混沌靴,fa_qi,xuezi,15,6,道阶靴子，道金锻造。
yaodai_fan,凡布带配方,凡阶,凡布带,fa_qi,yaodai,75,0,凡阶腰带，凡铁锻造。
yaodai_ling,青云带配方,灵阶,青云带,fa_qi,yaodai,65,1,灵阶腰带，灵铁锻造。
yaodai_bao,宝光带配方,宝阶,宝光带,fa_qi,yaodai,55,2,宝阶腰带，宝铁锻造。
yaodai_wang,紫金带配方,王阶,紫金带,fa_qi,yaodai,45,3,王阶腰带，王铁锻造。
yaodai_sheng,玄武带配方,圣阶,玄武带,fa_qi,yaodai,35,4,圣阶腰带，圣铁锻造。
yaodai_xian,天帝带配方,仙阶,天帝带,fa_qi,yaodai,25,5,仙阶腰带，仙金锻造。
yaodai_dao,混沌带配方,道阶,混沌带,fa_qi,yaodai,15,6,道阶腰带，道金锻造。
xianglian_fan,凡石链配方,凡阶,凡石链,fa_qi,xianglian,75,0,凡阶项链，凡铁锻造。
xianglian_ling,青云链配方,灵阶,青云链,fa_qi,xianglian,65,1,灵阶项链，灵铁锻造。
xianglian_bao,宝光链配方,宝阶,宝光链,fa_qi,xianglian,55,2,宝阶项链，宝铁锻造。
xianglian_wang,紫金链配方,王阶,紫金链,fa_qi,xianglian,45,3,王阶项链，王铁锻造。
xianglian_sheng,玄武链配方,圣阶,玄武链,fa_qi,xianglian,35,4,圣阶项链，圣铁锻造。
xianglian_xian,天帝链配方,仙阶,天帝链,fa_qi,xianglian,25,5,仙阶项链，仙金锻造。
xianglian_dao,混沌链配方,道阶,混沌链,fa_qi,xianglian,15,6,道阶项链，道金锻造。
jiezhi_fan,凡石戒配方,凡阶,凡石戒,fa_qi,jiezhi,75,0,凡阶戒指，凡铁锻造。
jiezhi_ling,青云戒配方,灵阶,青云戒,fa_qi,jiezhi,65,1,灵阶戒指，灵铁锻造。
jiezhi_bao,宝光戒配方,宝阶,宝光戒,fa_qi,jiezhi,55,2,宝阶戒指，宝铁锻造。
jiezhi_wang,紫金戒配方,王阶,紫金戒,fa_qi,jiezhi,45,3,王阶戒指，王铁锻造。
jiezhi_sheng,玄武戒配方,圣阶,玄武戒,fa_qi,jiezhi,35,4,圣阶戒指，圣铁锻造。
jiezhi_xian,天帝戒配方,仙阶,天帝戒,fa_qi,jiezhi,25,5,仙阶戒指，仙金锻造。
jiezhi_dao,混沌戒配方,道阶,混沌戒,fa_qi,jiezhi,15,6,道阶戒指，道金锻造。
shouzhuo_fan,凡铁镯配方,凡阶,凡铁镯,fa_qi,shouzhuo,75,0,凡阶手镯，凡铁锻造。
shouzhuo_ling,青云镯配方,灵阶,青云镯,fa_qi,shouzhuo,65,1,灵阶手镯，灵铁锻造。
shouzhuo_bao,宝光镯配方,宝阶,宝光镯,fa_qi,shouzhuo,55,2,宝阶手镯，宝铁锻造。
shouzhuo_wang,紫金镯配方,王阶,紫金镯,fa_qi,shouzhuo,45,3,王阶手镯，王铁锻造。
shouzhuo_sheng,玄武镯配方,圣阶,玄武镯,fa_qi,shouzhuo,35,4,圣阶手镯，圣铁锻造。
shouzhuo_xian,天帝镯配方,仙阶,天帝镯,fa_qi,shouzhuo,25,5,仙阶手镯，仙金锻造。
shouzhuo_dao,混沌镯配方,道阶,混沌镯,fa_qi,shouzhuo,15,6,道阶手镯，道金锻造。
yupei_fan,凡玉佩配方,凡阶,凡玉佩,fa_qi,yupei,75,0,凡阶玉佩，凡铁锻造。
yupei_ling,青云佩配方,灵阶,青云佩,fa_qi,yupei,65,1,灵阶玉佩，灵铁锻造。
yupei_bao,宝光佩配方,宝阶,宝光佩,fa_qi,yupei,55,2,宝阶玉佩，宝铁锻造。
yupei_wang,紫金佩配方,王阶,紫金佩,fa_qi,yupei,45,3,王阶玉佩，王铁锻造。
yupei_sheng,玄武佩配方,圣阶,玄武佩,fa_qi,yupei,35,4,圣阶玉佩，圣铁锻造。
yupei_xian,天帝佩配方,仙阶,天帝佩,fa_qi,yupei,25,5,仙阶玉佩，仙金锻造。
yupei_dao,混沌佩配方,道阶,混沌佩,fa_qi,yupei,15,6,道阶玉佩，道金锻造。
pifeng_fan,凡布披配方,凡阶,凡布披,fa_qi,pifeng,75,0,凡阶披风，凡铁锻造。
pifeng_ling,青云披配方,灵阶,青云披,fa_qi,pifeng,65,1,灵阶披风，灵铁锻造。
pifeng_bao,宝光披配方,宝阶,宝光披,fa_qi,pifeng,55,2,宝阶披风，宝铁锻造。
pifeng_wang,紫金披配方,王阶,紫金披,fa_qi,pifeng,45,3,王阶披风，王铁锻造。
pifeng_sheng,玄武披配方,圣阶,玄武披,fa_qi,pifeng,35,4,圣阶披风，圣铁锻造。
pifeng_xian,天帝披配方,仙阶,天帝披,fa_qi,pifeng,25,5,仙阶披风，仙金锻造。
pifeng_dao,混沌披配方,道阶,混沌披,fa_qi,pifeng,15,6,道阶披风，道金锻造。
