item_id,item_name,category,folder,grade,sub_grade,type,icon_path,tier,badge_grade,archetype,center_normal,center_top
mat_019,妖兽筋骨,材料,material,灵品,,妖兽类,res://icon/material/mat_019.png,low,灵品,beast,beast_normal.png,beast_top.png
mat_020,狐火晶,材料,material,宝品,,妖兽类,res://icon/material/mat_020.png,mid,宝品,beast,beast_normal.png,beast_top.png
mat_021,鹏羽,材料,material,王品,,妖兽类,res://icon/material/mat_021.png,mid,王品,beast,beast_normal.png,beast_top.png
mat_022,麒麟鳞,材料,material,圣品,,妖兽类,res://icon/material/mat_022.png,mid,圣品,beast,beast_normal.png,beast_top.png
mat_023,灵晶,材料,material,灵品,,晶石类,res://icon/material/mat_023.png,low,灵品,crystal,crystal_normal.png,crystal_top.png
mat_024,玄晶,材料,material,宝品,,晶石类,res://icon/material/mat_024.png,mid,宝品,crystal,crystal_normal.png,crystal_top.png
mat_025,圣晶,材料,material,圣品,,晶石类,res://icon/material/mat_025.png,mid,圣品,crystal,crystal_normal.png,crystal_top.png
mat_026,火焰晶石,材料,material,宝品,,晶石类,res://icon/material/mat_026.png,mid,宝品,crystal,crystal_normal.png,crystal_top.png
mat_027,雷晶石,材料,material,王品,,晶石类,res://icon/material/mat_027.png,mid,王品,crystal,crystal_normal.png,crystal_top.png
mat_028,灵米,材料,material,凡品,,食材类,res://icon/material/mat_028.png,low,凡品,food,food_normal.png,food_top.png
mat_029,筑基液,材料,material,灵品,,特殊材料,res://icon/material/mat_029.png,low,灵品,mat_special,mat_special_normal.png,mat_special_top.png
mat_030,元婴髓,材料,material,王品,,特殊材料,res://icon/material/mat_030.png,mid,王品,mat_special,mat_special_normal.png,mat_special_top.png
mat_031,悟道花,材料,material,圣品,,特殊材料,res://icon/material/mat_031.png,mid,圣品,mat_special,mat_special_normal.png,mat_special_top.png
mat_032,符文核心,材料,material,宝品,,特殊材料,res://icon/material/mat_032.png,mid,宝品,mat_special,mat_special_normal.png,mat_special_top.png
pill_001,聚气丹,丹药,pill,凡品,下品,培元类,res://icon/pill/pill_001.png,low,凡品,pill,pill_normal.png,pill_top.png
pill_002,凡品中品养元丹,丹药,pill,凡品,中品,培元类,res://icon/pill/pill_002.png,low,凡品,pill,pill_normal.png,pill_top.png
pill_003,凡品上品凝气丹,丹药,pill,凡品,上品,培元类,res://icon/pill/pill_003.png,low,凡品,pill,pill_normal.png,pill_top.png
pill_004,凡品极品培元丹,丹药,pill,凡品,极品,培元类,res://icon/pill/pill_004.png,low,凡品,pill,pill_normal.png,pill_top.png
pill_005,筑基丹,丹药,pill,灵品,中品,突破类,res://icon/pill/pill_005.png,low,灵品,pill,pill_normal.png,pill_top.png
pill_006,凡品中品清毒丹,丹药,pill,凡品,中品,恢复类,res://icon/pill/pill_006.png,low,凡品,pill,pill_normal.png,pill_top.png
pill_007,凡品上品神识丹,丹药,pill,凡品,上品,属性类,res://icon/pill/pill_007.png,low,凡品,pill,pill_normal.png,pill_top.png
pill_008,灵品下品养元丹,丹药,pill,灵品,下品,培元类,res://icon/pill/pill_008.png,low,灵品,pill,pill_normal.png,pill_top.png
pill_009,灵品中品婴变丹,丹药,pill,灵品,中品,突破类,res://icon/pill/pill_009.png,low,灵品,pill,pill_normal.png,pill_top.png
pill_010,灵品上品冲窍丹,丹药,pill,灵品,上品,突破类,res://icon/pill/pill_010.png,low,灵品,pill,pill_normal.png,pill_top.png
pill_011,灵品极品聚气丹,丹药,pill,灵品,极品,培元类,res://icon/pill/pill_011.png,low,灵品,pill,pill_normal.png,pill_top.png
pill_012,灵品下品清毒丹,丹药,pill,灵品,下品,恢复类,res://icon/pill/pill_012.png,low,灵品,pill,pill_normal.png,pill_top.png
pill_013,灵品中品神识丹,丹药,pill,灵品,中品,属性类,res://icon/pill/pill_013.png,low,灵品,pill,pill_normal.png,pill_top.png
pill_014,灵品上品续命丹,丹药,pill,灵品,上品,恢复类,res://icon/pill/pill_014.png,low,灵品,pill,pill_normal.png,pill_top.png
pill_015,宝品下品婴变丹,丹药,pill,宝品,下品,突破类,res://icon/pill/pill_015.png,mid,宝品,pill,pill_normal.png,pill_top.png
pill_016,宝品中品冲窍丹,丹药,pill,宝品,中品,突破类,res://icon/pill/pill_016.png,mid,宝品,pill,pill_normal.png,pill_top.png
pill_017,宝品上品破障丹,丹药,pill,宝品,上品,突破类,res://icon/pill/pill_017.png,mid,宝品,pill,pill_normal.png,pill_top.png
pill_018,宝品极品体丹,丹药,pill,宝品,极品,属性类,res://icon/pill/pill_018.png,mid,宝品,pill,pill_normal.png,pill_top.png
pill_019,宝品下品凝气丹,丹药,pill,宝品,下品,培元类,res://icon/pill/pill_019.png,mid,宝品,pill,pill_normal.png,pill_top.png
pill_020,宝品中品续命丹,丹药,pill,宝品,中品,恢复类,res://icon/pill/pill_020.png,mid,宝品,pill,pill_normal.png,pill_top.png
pill_021,宝品上品延寿丹,丹药,pill,宝品,上品,特殊类,res://icon/pill/pill_021.png,mid,宝品,pill,pill_normal.png,pill_top.png
pill_022,王品下品冲窍丹,丹药,pill,王品,下品,突破类,res://icon/pill/pill_022.png,mid,王品,pill,pill_normal.png,pill_top.png
pill_023,王品中品力丹,丹药,pill,王品,中品,属性类,res://icon/pill/pill_023.png,mid,王品,pill,pill_normal.png,pill_top.png
pill_024,王品上品洗髓丹,丹药,pill,王品,上品,特殊类,res://icon/pill/pill_024.png,mid,王品,pill,pill_normal.png,pill_top.png
pill_025,王品极品凝气丹,丹药,pill,王品,极品,培元类,res://icon/pill/pill_025.png,mid,王品,pill,pill_normal.png,pill_top.png
pill_026,王品下品续命丹,丹药,pill,王品,下品,恢复类,res://icon/pill/pill_026.png,mid,王品,pill,pill_normal.png,pill_top.png
pill_027,王品中品破障丹,丹药,pill,王品,中品,突破类,res://icon/pill/pill_027.png,mid,王品,pill,pill_normal.png,pill_top.png
pill_028,圣品下品延寿丹,丹药,pill,圣品,下品,特殊类,res://icon/pill/pill_028.png,mid,圣品,pill,pill_normal.png,pill_top.png
pill_029,圣品中品固金丹,丹药,pill,圣品,中品,突破类,res://icon/pill/pill_029.png,mid,圣品,pill,pill_normal.png,pill_top.png
pill_030,圣品上品神识丹,丹药,pill,圣品,上品,属性类,res://icon/pill/pill_030.png,mid,圣品,pill,pill_normal.png,pill_top.png
pill_031,圣品极品续命丹,丹药,pill,圣品,极品,恢复类,res://icon/pill/pill_031.png,mid,圣品,pill,pill_normal.png,pill_top.png
pill_032,圣品下品破障丹,丹药,pill,圣品,下品,突破类,res://icon/pill/pill_032.png,mid,圣品,pill,pill_normal.png,pill_top.png
pill_033,圣品中品洗髓丹,丹药,pill,圣品,中品,特殊类,res://icon/pill/pill_033.png,mid,圣品,pill,pill_normal.png,pill_top.png
pill_034,仙品下品固金丹,丹药,pill,仙品,下品,突破类,res://icon/pill/pill_034.png,high,仙品,pill,pill_normal.png,pill_top.png
pill_035,仙品中品神识丹,丹药,pill,仙品,中品,属性类,res://icon/pill/pill_035.png,high,仙品,pill,pill_normal.png,pill_top.png
pill_036,仙品上品化劫丹,丹药,pill,仙品,上品,特殊类,res://icon/pill/pill_036.png,high,仙品,pill,pill_normal.png,pill_top.png
pill_037,仙品极品回血丹,丹药,pill,仙品,极品,恢复类,res://icon/pill/pill_037.png,high,仙品,pill,pill_normal.png,pill_top.png
pill_038,道品极品洗髓丹,丹药,pill,道品,极品,特殊类,res://icon/pill/pill_038.png,high,道品,pill,pill_normal.png,pill_top.png
pill_039,道品上品破障丹,丹药,pill,道品,上品,突破类,res://icon/pill/pill_039.png,high,道品,pill,pill_normal.png,pill_top.png
pill_040,清颜露·凡品,丹药,pill,凡品,下品,特殊类,res://icon/pill/pill_040.png,low,凡品,pill,pill_normal.png,pill_top.png
pill_041,清颜露·灵品,丹药,pill,灵品,下品,特殊类,res://icon/pill/pill_041.png,low,灵品,pill,pill_normal.png,pill_top.png
pill_042,清颜露·宝品,丹药,pill,宝品,下品,特殊类,res://icon/pill/pill_042.png,mid,宝品,pill,pill_normal.png,pill_top.png
pill_043,清颜露·王品,丹药,pill,王品,下品,特殊类,res://icon/pill/pill_043.png,mid,王品,pill,pill_normal.png,pill_top.png
pill_044,驻颜丹,丹药,pill,灵品,中品,特殊类,res://icon/pill/pill_044.png,low,灵品,pill,pill_normal.png,pill_top.png
tal_001,凡品下品火球符,符箓,talisman,凡品,下品,攻击类,res://icon/talisman/tal_001.png,low,凡品,talisman,talisman_normal.png,talisman_top.png
tal_002,凡品中品金刚符,符箓,talisman,凡品,中品,防御类,res://icon/talisman/tal_002.png,low,凡品,talisman,talisman_normal.png,talisman_top.png
tal_003,凡品上品聚灵符,符箓,talisman,凡品,上品,辅助类,res://icon/talisman/tal_003.png,low,凡品,talisman,talisman_normal.png,talisman_top.png
tal_004,凡品极品冰冻符,符箓,talisman,凡品,极品,控制类,res://icon/talisman/tal_004.png,low,凡品,talisman,talisman_normal.png,talisman_top.png
tal_005,灵品下品金刚符,符箓,talisman,灵品,下品,防御类,res://icon/talisman/tal_005.png,low,灵品,talisman,talisman_normal.png,talisman_top.png
tal_006,灵品中品聚灵符,符箓,talisman,灵品,中品,辅助类,res://icon/talisman/tal_006.png,low,灵品,talisman,talisman_normal.png,talisman_top.png
tal_007,灵品上品冰冻符,符箓,talisman,灵品,上品,控制类,res://icon/talisman/tal_007.png,low,灵品,talisman,talisman_normal.png,talisman_top.png
tal_008,灵品极品隐身符,符箓,talisman,灵品,极品,特殊类,res://icon/talisman/tal_008.png,low,灵品,talisman,talisman_normal.png,talisman_top.png
tal_009,宝品下品聚灵符,符箓,talisman,宝品,下品,辅助类,res://icon/talisman/tal_009.png,mid,宝品,talisman,talisman_normal.png,talisman_top.png
tal_010,宝品中品冰冻符,符箓,talisman,宝品,中品,控制类,res://icon/talisman/tal_010.png,mid,宝品,talisman,talisman_normal.png,talisman_top.png
tal_011,宝品上品隐身符,符箓,talisman,宝品,上品,特殊类,res://icon/talisman/tal_011.png,mid,宝品,talisman,talisman_normal.png,talisman_top.png
tal_012,宝品极品天火符,符箓,talisman,宝品,极品,攻击类,res://icon/talisman/tal_012.png,mid,宝品,talisman,talisman_normal.png,talisman_top.png
tal_013,王品下品冰冻符,符箓,talisman,王品,下品,控制类,res://icon/talisman/tal_013.png,mid,王品,talisman,talisman_normal.png,talisman_top.png
tal_014,王品中品隐身符,符箓,talisman,王品,中品,特殊类,res://icon/talisman/tal_014.png,mid,王品,talisman,talisman_normal.png,talisman_top.png
tal_015,王品上品天火符,符箓,talisman,王品,上品,攻击类,res://icon/talisman/tal_015.png,mid,王品,talisman,talisman_normal.png,talisman_top.png
tal_016,王品极品护盾符,符箓,talisman,王品,极品,防御类,res://icon/talisman/tal_016.png,mid,王品,talisman,talisman_normal.png,talisman_top.png
tal_017,圣品下品隐身符,符箓,talisman,圣品,下品,特殊类,res://icon/talisman/tal_017.png,mid,圣品,talisman,talisman_normal.png,talisman_top.png
tal_018,圣品中品天火符,符箓,talisman,圣品,中品,攻击类,res://icon/talisman/tal_018.png,mid,圣品,talisman,talisman_normal.png,talisman_top.png
tal_019,圣品上品护盾符,符箓,talisman,圣品,上品,防御类,res://icon/talisman/tal_019.png,mid,圣品,talisman,talisman_normal.png,talisman_top.png
tal_020,圣品极品清心符,符箓,talisman,圣品,极品,辅助类,res://icon/talisman/tal_020.png,mid,圣品,talisman,talisman_normal.png,talisman_top.png
tal_021,仙品下品天火符,符箓,talisman,仙品,下品,攻击类,res://icon/talisman/tal_021.png,high,仙品,talisman,talisman_normal.png,talisman_top.png
tal_022,仙品中品护盾符,符箓,talisman,仙品,中品,防御类,res://icon/talisman/tal_022.png,high,仙品,talisman,talisman_normal.png,talisman_top.png
tal_023,仙品上品清心符,符箓,talisman,仙品,上品,辅助类,res://icon/talisman/tal_023.png,high,仙品,talisman,talisman_normal.png,talisman_top.png
tal_024,仙品极品卸力符,符箓,talisman,仙品,极品,控制类,res://icon/talisman/tal_024.png,high,仙品,talisman,talisman_normal.png,talisman_top.png
tal_025,道品下品护盾符,符箓,talisman,道品,下品,防御类,res://icon/talisman/tal_025.png,high,道品,talisman,talisman_normal.png,talisman_top.png
tal_026,道品中品清心符,符箓,talisman,道品,中品,辅助类,res://icon/talisman/tal_026.png,high,道品,talisman,talisman_normal.png,talisman_top.png
tal_027,道品上品卸力符,符箓,talisman,道品,上品,控制类,res://icon/talisman/tal_027.png,high,道品,talisman,talisman_normal.png,talisman_top.png
tal_028,道品极品传送符,符箓,talisman,道品,极品,特殊类,res://icon/talisman/tal_028.png,high,道品,talisman,talisman_normal.png,talisman_top.png
tal_029,道品极品冰冻符,符箓,talisman,道品,极品,控制类,res://icon/talisman/tal_029.png,high,道品,talisman,talisman_normal.png,talisman_top.png
tal_030,道品极品传送符,符箓,talisman,道品,极品,特殊类,res://icon/talisman/tal_030.png,high,道品,talisman,talisman_normal.png,talisman_top.png
tal_031,道品极品火球符,符箓,talisman,道品,极品,攻击类,res://icon/talisman/tal_031.png,high,道品,talisman,talisman_normal.png,talisman_top.png
tal_032,道品极品护盾符,符箓,talisman,道品,极品,防御类,res://icon/talisman/tal_032.png,high,道品,talisman,talisman_normal.png,talisman_top.png
tal_033,道品极品加速符,符箓,talisman,道品,极品,辅助类,res://icon/talisman/tal_033.png,high,道品,talisman,talisman_normal.png,talisman_top.png
tal_034,道品极品冰冻符,符箓,talisman,道品,极品,控制类,res://icon/talisman/tal_034.png,high,道品,talisman,talisman_normal.png,talisman_top.png
tal_035,道品极品传送符,符箓,talisman,道品,极品,特殊类,res://icon/talisman/tal_035.png,high,道品,talisman,talisman_normal.png,talisman_top.png
tal_036,道品极品火球符,符箓,talisman,道品,极品,攻击类,res://icon/talisman/tal_036.png,high,道品,talisman,talisman_normal.png,talisman_top.png
tal_037,道品极品护盾符,符箓,talisman,道品,极品,防御类,res://icon/talisman/tal_037.png,high,道品,talisman,talisman_normal.png,talisman_top.png
eq_001,凡品下品武器,装备,equip,凡品,下品,武器,res://icon/equip/eq_001.png,low,凡品,weapon,weapon_normal.png,weapon_top.png
eq_002,凡品中品法袍,装备,equip,凡品,中品,衣袍,res://icon/equip/eq_002.png,low,凡品,robe,robe_normal.png,robe_top.png
eq_003,凡品上品头盔,装备,equip,凡品,上品,头盔,res://icon/equip/eq_003.png,low,凡品,helmet,helmet_normal.png,helmet_top.png
eq_004,凡品极品护腕,装备,equip,凡品,极品,护腕,res://icon/equip/eq_004.png,low,凡品,bracer,bracer_normal.png,bracer_top.png
eq_005,凡品下品腰带,装备,equip,凡品,下品,腰带,res://icon/equip/eq_005.png,low,凡品,belt,belt_normal.png,belt_top.png
eq_006,凡品中品靴子,装备,equip,凡品,中品,靴子,res://icon/equip/eq_006.png,low,凡品,boot,boot_normal.png,boot_top.png
eq_007,灵品下品法袍,装备,equip,灵品,下品,衣袍,res://icon/equip/eq_007.png,low,灵品,robe,robe_normal.png,robe_top.png
eq_008,灵品中品头盔,装备,equip,灵品,中品,头盔,res://icon/equip/eq_008.png,low,灵品,helmet,helmet_normal.png,helmet_top.png
eq_009,灵品上品护腕,装备,equip,灵品,上品,护腕,res://icon/equip/eq_009.png,low,灵品,bracer,bracer_normal.png,bracer_top.png
eq_010,灵品极品腰带,装备,equip,灵品,极品,腰带,res://icon/equip/eq_010.png,low,灵品,belt,belt_normal.png,belt_top.png
eq_011,灵品下品靴子,装备,equip,灵品,下品,靴子,res://icon/equip/eq_011.png,low,灵品,boot,boot_normal.png,boot_top.png
eq_012,灵品中品饰品,装备,equip,灵品,中品,配饰,res://icon/equip/eq_012.png,low,灵品,accessory,accessory_normal.png,accessory_top.png
eq_013,宝品下品头盔,装备,equip,宝品,下品,头盔,res://icon/equip/eq_013.png,mid,宝品,helmet,helmet_normal.png,helmet_top.png
eq_014,宝品中品护腕,装备,equip,宝品,中品,护腕,res://icon/equip/eq_014.png,mid,宝品,bracer,bracer_normal.png,bracer_top.png
eq_015,宝品上品腰带,装备,equip,宝品,上品,腰带,res://icon/equip/eq_015.png,mid,宝品,belt,belt_normal.png,belt_top.png
eq_016,宝品极品靴子,装备,equip,宝品,极品,靴子,res://icon/equip/eq_016.png,mid,宝品,boot,boot_normal.png,boot_top.png
eq_017,宝品下品饰品,装备,equip,宝品,下品,配饰,res://icon/equip/eq_017.png,mid,宝品,accessory,accessory_normal.png,accessory_top.png
eq_018,宝品中品武器,装备,equip,宝品,中品,武器,res://icon/equip/eq_018.png,mid,宝品,weapon,weapon_normal.png,weapon_top.png
eq_019,王品下品护腕,装备,equip,王品,下品,护腕,res://icon/equip/eq_019.png,mid,王品,bracer,bracer_normal.png,bracer_top.png
eq_020,王品中品腰带,装备,equip,王品,中品,腰带,res://icon/equip/eq_020.png,mid,王品,belt,belt_normal.png,belt_top.png
eq_021,王品上品靴子,装备,equip,王品,上品,靴子,res://icon/equip/eq_021.png,mid,王品,boot,boot_normal.png,boot_top.png
eq_022,王品极品饰品,装备,equip,王品,极品,配饰,res://icon/equip/eq_022.png,mid,王品,accessory,accessory_normal.png,accessory_top.png
eq_023,王品下品武器,装备,equip,王品,下品,武器,res://icon/equip/eq_023.png,mid,王品,weapon,weapon_normal.png,weapon_top.png
eq_024,王品中品法袍,装备,equip,王品,中品,衣袍,res://icon/equip/eq_024.png,mid,王品,robe,robe_normal.png,robe_top.png
eq_025,圣品下品腰带,装备,equip,圣品,下品,腰带,res://icon/equip/eq_025.png,mid,圣品,belt,belt_normal.png,belt_top.png
eq_026,圣品中品靴子,装备,equip,圣品,中品,靴子,res://icon/equip/eq_026.png,mid,圣品,boot,boot_normal.png,boot_top.png
eq_027,圣品上品饰品,装备,equip,圣品,上品,配饰,res://icon/equip/eq_027.png,mid,圣品,accessory,accessory_normal.png,accessory_top.png
eq_028,圣品极品武器,装备,equip,圣品,极品,武器,res://icon/equip/eq_028.png,mid,圣品,weapon,weapon_normal.png,weapon_top.png
eq_029,圣品下品法袍,装备,equip,圣品,下品,衣袍,res://icon/equip/eq_029.png,mid,圣品,robe,robe_normal.png,robe_top.png
eq_030,圣品中品头盔,装备,equip,圣品,中品,头盔,res://icon/equip/eq_030.png,mid,圣品,helmet,helmet_normal.png,helmet_top.png
eq_031,仙品下品靴子,装备,equip,仙品,下品,靴子,res://icon/equip/eq_031.png,high,仙品,boot,boot_normal.png,boot_top.png
eq_032,仙品中品饰品,装备,equip,仙品,中品,配饰,res://icon/equip/eq_032.png,high,仙品,accessory,accessory_normal.png,accessory_top.png
eq_033,仙品上品武器,装备,equip,仙品,上品,武器,res://icon/equip/eq_033.png,high,仙品,weapon,weapon_normal.png,weapon_top.png
eq_034,仙品极品法袍,装备,equip,仙品,极品,衣袍,res://icon/equip/eq_034.png,high,仙品,robe,robe_normal.png,robe_top.png
eq_035,仙品下品头盔,装备,equip,仙品,下品,头盔,res://icon/equip/eq_035.png,high,仙品,helmet,helmet_normal.png,helmet_top.png
eq_036,仙品中品护腕,装备,equip,仙品,中品,护腕,res://icon/equip/eq_036.png,high,仙品,bracer,bracer_normal.png,bracer_top.png
eq_037,仙品上品腰带,装备,equip,仙品,上品,腰带,res://icon/equip/eq_037.png,high,仙品,belt,belt_normal.png,belt_top.png
eq_038,道品下品饰品,装备,equip,道品,下品,配饰,res://icon/equip/eq_038.png,high,道品,accessory,accessory_normal.png,accessory_top.png
eq_039,道品中品武器,装备,equip,道品,中品,武器,res://icon/equip/eq_039.png,high,道品,weapon,weapon_normal.png,weapon_top.png
eq_040,道品上品法袍,装备,equip,道品,上品,衣袍,res://icon/equip/eq_040.png,high,道品,robe,robe_normal.png,robe_top.png
eq_041,道品极品头盔,装备,equip,道品,极品,头盔,res://icon/equip/eq_041.png,high,道品,helmet,helmet_normal.png,helmet_top.png
eq_042,道品下品护腕,装备,equip,道品,下品,护腕,res://icon/equip/eq_042.png,high,道品,bracer,bracer_normal.png,bracer_top.png
eq_043,道品中品腰带,装备,equip,道品,中品,腰带,res://icon/equip/eq_043.png,high,道品,belt,belt_normal.png,belt_top.png
eq_044,道品上品靴子,装备,equip,道品,上品,靴子,res://icon/equip/eq_044.png,high,道品,boot,boot_normal.png,boot_top.png
eq_045,凡品下品法宝,装备,equip,凡品,下品,本命法宝,res://icon/equip/eq_045.png,low,凡品,weapon,weapon_normal.png,weapon_top.png
bp_001,凡品下品装备图纸,装备图纸,equip_blueprint,凡品,下品,,res://icon/equip_blueprint/bp_001.png,low,凡品,blueprint,blueprint_normal.png,blueprint_top.png
bp_002,凡品中品装备图纸,装备图纸,equip_blueprint,凡品,中品,,res://icon/equip_blueprint/bp_002.png,low,凡品,blueprint,blueprint_normal.png,blueprint_top.png
bp_003,凡品上品装备图纸,装备图纸,equip_blueprint,凡品,上品,,res://icon/equip_blueprint/bp_003.png,low,凡品,blueprint,blueprint_normal.png,blueprint_top.png
bp_004,灵品下品装备图纸,装备图纸,equip_blueprint,灵品,下品,,res://icon/equip_blueprint/bp_004.png,low,灵品,blueprint,blueprint_normal.png,blueprint_top.png
bp_005,灵品中品装备图纸,装备图纸,equip_blueprint,灵品,中品,,res://icon/equip_blueprint/bp_005.png,low,灵品,blueprint,blueprint_normal.png,blueprint_top.png
bp_006,灵品上品装备图纸,装备图纸,equip_blueprint,灵品,上品,,res://icon/equip_blueprint/bp_006.png,low,灵品,blueprint,blueprint_normal.png,blueprint_top.png
bp_007,宝品下品装备图纸,装备图纸,equip_blueprint,宝品,下品,,res://icon/equip_blueprint/bp_007.png,mid,宝品,blueprint,blueprint_normal.png,blueprint_top.png
bp_008,宝品中品装备图纸,装备图纸,equip_blueprint,宝品,中品,,res://icon/equip_blueprint/bp_008.png,mid,宝品,blueprint,blueprint_normal.png,blueprint_top.png
bp_009,宝品上品装备图纸,装备图纸,equip_blueprint,宝品,上品,,res://icon/equip_blueprint/bp_009.png,mid,宝品,blueprint,blueprint_normal.png,blueprint_top.png
bp_010,王品下品装备图纸,装备图纸,equip_blueprint,王品,下品,,res://icon/equip_blueprint/bp_010.png,mid,王品,blueprint,blueprint_normal.png,blueprint_top.png
bp_011,王品中品装备图纸,装备图纸,equip_blueprint,王品,中品,,res://icon/equip_blueprint/bp_011.png,mid,王品,blueprint,blueprint_normal.png,blueprint_top.png
bp_012,王品上品装备图纸,装备图纸,equip_blueprint,王品,上品,,res://icon/equip_blueprint/bp_012.png,mid,王品,blueprint,blueprint_normal.png,blueprint_top.png
bp_013,圣品下品装备图纸,装备图纸,equip_blueprint,圣品,下品,,res://icon/equip_blueprint/bp_013.png,mid,圣品,blueprint,blueprint_normal.png,blueprint_top.png
bp_014,圣品中品装备图纸,装备图纸,equip_blueprint,圣品,中品,,res://icon/equip_blueprint/bp_014.png,mid,圣品,blueprint,blueprint_normal.png,blueprint_top.png
bp_015,圣品上品装备图纸,装备图纸,equip_blueprint,圣品,上品,,res://icon/equip_blueprint/bp_015.png,mid,圣品,blueprint,blueprint_normal.png,blueprint_top.png
bp_016,仙品下品装备图纸,装备图纸,equip_blueprint,仙品,下品,,res://icon/equip_blueprint/bp_016.png,high,仙品,blueprint,blueprint_normal.png,blueprint_top.png
bp_017,仙品中品装备图纸,装备图纸,equip_blueprint,仙品,中品,,res://icon/equip_blueprint/bp_017.png,high,仙品,blueprint,blueprint_normal.png,blueprint_top.png
bp_018,道品下品装备图纸,装备图纸,equip_blueprint,道品,下品,,res://icon/equip_blueprint/bp_018.png,high,道品,blueprint,blueprint_normal.png,blueprint_top.png
bp_019,道品中品装备图纸,装备图纸,equip_blueprint,道品,中品,,res://icon/equip_blueprint/bp_019.png,high,道品,blueprint,blueprint_normal.png,blueprint_top.png
set_001_下品,青锋套,装备套装,equip_set,凡品,下品,,res://icon/equip_set/set_001_下品.png,low,凡品,setpiece,setpiece_normal.png,setpiece_top.png
set_001_中品,青锋套,装备套装,equip_set,凡品,中品,,res://icon/equip_set/set_001_中品.png,low,凡品,setpiece,setpiece_normal.png,setpiece_top.png
set_001_上品,青锋套,装备套装,equip_set,凡品,上品,,res://icon/equip_set/set_001_上品.png,low,凡品,setpiece,setpiece_normal.png,setpiece_top.png
set_001_极品,青锋套,装备套装,equip_set,凡品,极品,,res://icon/equip_set/set_001_极品.png,low,凡品,setpiece,setpiece_normal.png,setpiece_top.png
set_002_下品,玄灵套,装备套装,equip_set,灵品,下品,,res://icon/equip_set/set_002_下品.png,low,灵品,setpiece,setpiece_normal.png,setpiece_top.png
set_002_中品,玄灵套,装备套装,equip_set,灵品,中品,,res://icon/equip_set/set_002_中品.png,low,灵品,setpiece,setpiece_normal.png,setpiece_top.png
set_002_上品,玄灵套,装备套装,equip_set,灵品,上品,,res://icon/equip_set/set_002_上品.png,low,灵品,setpiece,setpiece_normal.png,setpiece_top.png
set_002_极品,玄灵套,装备套装,equip_set,灵品,极品,,res://icon/equip_set/set_002_极品.png,low,灵品,setpiece,setpiece_normal.png,setpiece_top.png
set_003_下品,玄金套,装备套装,equip_set,宝品,下品,,res://icon/equip_set/set_003_下品.png,mid,宝品,setpiece,setpiece_normal.png,setpiece_top.png
set_003_中品,玄金套,装备套装,equip_set,宝品,中品,,res://icon/equip_set/set_003_中品.png,mid,宝品,setpiece,setpiece_normal.png,setpiece_top.png
set_003_上品,玄金套,装备套装,equip_set,宝品,上品,,res://icon/equip_set/set_003_上品.png,mid,宝品,setpiece,setpiece_normal.png,setpiece_top.png
