"优先级","类别","相对路径","完整路径","尺寸","文件"
"P2","功法图标","res://art/icons/skill/skill_dandao_02_512.png","E:\Xiuxian\taixuanzongmenlu\art\icons\skill\skill_dandao_02_512.png","1024x1024","skill_dandao_02_512.png"
"P2","功法图标","res://art/icons/skill/skill_daoxiu_01_512.png","E:\Xiuxian\taixuanzongmenlu\art\icons\skill\skill_daoxiu_01_512.png","1024x1024","skill_daoxiu_01_512.png"
"P2","功法图标","res://art/icons/skill/skill_daoxiu_04_512.png","E:\Xiuxian\taixuanzongmenlu\art\icons\skill\skill_daoxiu_04_512.png","1024x1024","skill_daoxiu_04_512.png"
"P2","功法图标","res://art/icons/skill/skill_fulu_04_512.png","E:\Xiuxian\taixuanzongmenlu\art\icons\skill\skill_fulu_04_512.png","1024x1024","skill_fulu_04_512.png"
"P2","功法图标","res://art/icons/skill/skill_tixiu_02_512.png","E:\Xiuxian\taixuanzongmenlu\art\icons\skill\skill_tixiu_02_512.png","1024x1024","skill_tixiu_02_512.png"
"P2","功法图标","res://art/icons/skill/skill_yushou_01_512.png","E:\Xiuxian\taixuanzongmenlu\art\icons\skill\skill_yushou_01_512.png","1024x1024","skill_yushou_01_512.png"
"P2","功法图标","res://art/icons/skill/skill_yushou_05_512.png","E:\Xiuxian\taixuanzongmenlu\art\icons\skill\skill_yushou_05_512.png","1024x1024","skill_yushou_05_512.png"
"P2","功法图标","res://art/icons/skill/skill_zhenfa_02_512.png","E:\Xiuxian\taixuanzongmenlu\art\icons\skill\skill_zhenfa_02_512.png","1024x1024","skill_zhenfa_02_512.png"
"P2","功法图标","res://art/icons/skill/skill_zhenfa_05_512.png","E:\Xiuxian\taixuanzongmenlu\art\icons\skill\skill_zhenfa_05_512.png","1024x1024","skill_zhenfa_05_512.png"
"P3","立绘","res://art/characters/beasts/beast_baihu_512.png","E:\Xiuxian\taixuanzongmenlu\art\characters\beasts\beast_baihu_512.png","1024x1024","beast_baihu_512.png"
"P3","装备/奇物图标","res://art/icons/equipment/oddity_guxiu_512.png","E:\Xiuxian\taixuanzongmenlu\art\icons\equipment\oddity_guxiu_512.png","1024x1024","oddity_guxiu_512.png"
"P3","装备/奇物图标","res://art/icons/equipment/slot_toukui_fan_512.png","E:\Xiuxian\taixuanzongmenlu\art\icons\equipment\slot_toukui_fan_512.png","1024x1024","slot_toukui_fan_512.png"
"P3","资源/符箓图标","res://art/icons/resource/talisman_jiasu_512.png","E:\Xiuxian\taixuanzongmenlu\art\icons\resource\talisman_jiasu_512.png","1024x1024","talisman_jiasu_512.png"
