page_id,page_script,bg_texture_path,tex_size,dominant_hex,green_ratio,bluegray_ratio,verdict
S39_药园,ui/page_herb_garden.gd,-,-,#1B272B,0.014,0.986,偏蓝
S40_药圃经营,ui/page_herb.gd,-,-,#22333A,0.000,0.999,偏蓝
S41_藏书阁,ui/page_library.gd,-,-,#1B272B,0.014,0.986,偏蓝
S42_装备图纸,ui/page_equipment_blueprint.gd,-,-,#1B272B,0.014,0.986,偏蓝
S43_论道棋弈,ui/page_chess.gd,-,-,#22333A,0.000,0.999,偏蓝
S44_设置,ui/page_settings.gd,-,-,#0A1216,0.020,0.980,偏蓝
S45_身外化身,ui/page_avatar.gd,-,-,#0A1216,0.014,0.986,偏蓝
S46_道友,ui/page_daoyou.gd,-,-,#0A1216,0.018,0.982,偏蓝
S47_闲情雅趣,ui/page_leisure.gd,-,-,#0A1216,0.019,0.981,偏蓝
S48_阵营声望,ui/page_faction.gd,-,-,#243439,0.017,0.983,偏蓝
S49_音律,ui/page_music.gd,-,-,#22333A,0.000,1.000,偏蓝
S50_风水堪舆,ui/page_fengshui.gd,-,-,#22333A,0.000,1.000,偏蓝
S51_飞升,ui/page_ascension.gd,-,-,#22333A,0.000,1.000,偏蓝
S52_饲灵育兽,ui/page_beast_raise.gd,-,-,#22333A,0.000,0.999,偏蓝
X01_天下,ui/page_world_map_visual.gd,-,-,#19342C,0.960,0.040,偏绿
X02_心弦,ui/page_chat.gd,-,-,#0A1B17,1.000,0.000,偏绿
X03_传讯中心,ui/page_message.gd,-,-,#15161A,0.000,0.995,偏蓝
X04_宗主详情,ui/master_detail_page.gd,-,-,#10191D,0.062,0.933,偏蓝
X05_玩家交易,ui/page_player_trade.gd,-,-,#15161A,0.000,0.996,偏蓝
X06_离线管理,ui/page_offline_manager.gd,-,-,#213533,0.954,0.046,偏绿
