region_id,scope,x0,y0,x1,y1,field,driver,evidence
TIANXIA_BODY,X01_天下,95,560,110,568,天下舆图·主区(城池/势力/资源),派生,after_null n>8=85
TIANXIA_BODY,X01_天下,98,575,110,582,天下舆图·主区(城池/势力/资源),派生,after_null n>8=40
TIANXIA_BODY,X01_天下,95,588,110,596,天下舆图·主区(城池/势力/资源),派生,after_null n>8=88
TIANXIA_BODY,X01_天下,99,603,106,610,天下舆图·主区(城池/势力/资源),派生,after_null n>8=45
TIANXIA_BODY,X01_天下,133,723,139,729,天下舆图·主区(城池/势力/资源),派生,after_null n>8=26
TIANXIA_BODY,X01_天下,129,735,143,742,天下舆图·主区(城池/势力/资源),派生,after_null n>8=61
TIANXIA_BODY,X01_天下,131,749,144,756,天下舆图·主区(城池/势力/资源),派生,after_null n>8=46
TIANXIA_BODY,X01_天下,128,763,143,770,天下舆图·主区(城池/势力/资源),派生,after_null n>8=76
TIANXIA_BODY,X01_天下,132,777,139,784,天下舆图·主区(城池/势力/资源),派生,after_null n>8=38
TIANXIA_BODY,X01_天下,134,852,173,885,天下舆图·主区(城池/势力/资源),派生,after_null n>8=545
TIANXIA_BODY,X01_天下,178,890,642,1041,天下舆图·主区(城池/势力/资源),派生,after_null n>8=3612
XINXIAN_BODY,X02_心弦,1,242,331,260,心弦页·主区数值,派生,after_null n>8=2553；原文『心拍』在盘上无源，按上下文归此
XINXIAN_BODY,X02_心弦,1,273,403,291,心弦页·主区数值,派生,after_null n>8=3432；原文『心拍』在盘上无源，按上下文归此
XINXIAN_BODY,X02_心弦,0,304,427,321,心弦页·主区数值,派生,after_null n>8=4291；原文『心拍』在盘上无源，按上下文归此
XINXIAN_BODY,X02_心弦,1,334,331,352,心弦页·主区数值,派生,after_null n>8=2439；原文『心拍』在盘上无源，按上下文归此
XINXIAN_BODY,X02_心弦,1,365,336,383,心弦页·主区数值,派生,after_null n>8=3131；原文『心拍』在盘上无源，按上下文归此
XINXIAN_BODY,X02_心弦,1,396,463,413,心弦页·主区数值,派生,after_null n>8=4119；原文『心拍』在盘上无源，按上下文归此
XINXIAN_BODY,X02_心弦,1,426,331,444,心弦页·主区数值,派生,after_null n>8=2994；原文『心拍』在盘上无源，按上下文归此
XINXIAN_BODY,X02_心弦,1,457,318,475,心弦页·主区数值,派生,after_null n>8=2610；原文『心拍』在盘上无源，按上下文归此
MSG_LIST,X03_传讯中心,51,68,355,81,传讯中心·列表/内嵌顶栏资源,未读计数(实时),after_null n>8=127
MSG_LIST,X03_传讯中心,7,561,93,582,传讯中心·列表/内嵌顶栏资源,未读计数(实时),after_null n>8=1153
MSG_LIST,X03_传讯中心,8,594,219,612,传讯中心·列表/内嵌顶栏资源,未读计数(实时),after_null n>8=1340
MSG_LIST,X03_传讯中心,0,672,719,825,传讯中心·列表/内嵌顶栏资源,未读计数(实时),after_null n>8=13867
