const_name,family,line_no,current_arg,inline_comment_hex,doc_token_value,asset_sample_hex,verdict_target,change_class
C01_GOLD_LINE,C01_,42,"Color(0.639,0.541,0.318)",-,-（MAP§1 仅列现状 #A38A51）,-,-,C
C01_TEXT_PRIMARY,C01_,43,"Color8(242,245,243)",#F2F5F3,mockup:24 #F2F5F3(③),-,#F2F5F3,OK
C01_TEXT_GOLD,C01_,44,"Color8(214,177,106)",#D6B16A,P2-宗主玉牒:211 #D6B16A(②),-,#D6B16A,OK
C01_TEXT_SECONDARY,C01_,45,"Color8(207,198,178)",#CFC6B2,mockup:26 #CFC6B2(③),-,#CFC6B2,OK
C01_TEXT_TERTIARY,C01_,46,"Color8(159,179,176)",#9FB3B0,mockup:27 #9FB3B0(③),-,#9FB3B0,OK
C01_FLOAT_BG,C01_,47,"Color(0.075,0.180,0.153)",-,-（注释仅指 2:222）,-,-,C
C01_CALENDAR_BG,C01_,48,"Color(0.055,0.149,0.125,0.90)",-,-（注释仅指 50:1）,-,-,C
C01_ENTRY_BG,C01_,49,"Color(0.078,0.204,0.169,0.62)",-,P0-4记录目标#1B272B@0.55（与盘上不符·非token表）,-,-,C
C01_PROG_TRACK,C01_,50,"Color(0.055,0.137,0.114,0.45)",-,-（注释仅指 2:224）,-,-,C
C01_PROG_FILL,C01_,51,"Color(0.882,0.765,0.478)",-,-（MAP§1 仅列现状 #E1C37A）,-,-,C
C01_TAB_CAPSULE,C01_,52,"Color(0.075,0.180,0.153,0.18)",-,-,-,-,C
C01_TAB_ACTIVE,C01_,53,"Color(0.129,0.400,0.325,0.34)",-,mockup:29 #6E5726@0.42(③ only),-,-,C
C01_TAB_IDLE,C01_,54,"Color(0.075,0.180,0.153,0.10)",-,mockup:30 #1B272B@0.55(=MAT_SURFACE复用 ⇒③不作权威),-,-,C
C01_TAB_BAR_BG,C01_,55,"Color(0.055,0.145,0.122,0.94)",#071214,移出（③=mockup:28 复用 MAT_BASE_BOTTOM）,-,-,C
C01_TAB_ICON_BG_SEL,C01_,56,"Color(0.106,0.298,0.247,0.85)",#0E2A30,移出（design/ 零命中 无权威 + 死码）,-,-,C
C01_TAB_ICON_BG_IDLE,C01_,57,"Color(0.063,0.176,0.145,0.65)",#0C1E22,移出（无权威 + 死码 + α 死参数）,-,-,C
C01_CLOUD,C01_,58,"Color(0.780,0.878,0.839,0.18)",-,-（注释仅指 2:203）,-,-,C
C01_SCENE_BASE,C01_,59,"Color(0.039,0.106,0.090)",-,-（注释仅指 2:55 / 35:2）,-,-,C
C01_EYE_BG,C01_,112,"Color(0.055,0.149,0.125,0.55)",-,-（注释仅指 35:5）,-,-,C
C01_EYE_BORDER,C01_,113,"Color(0.216,0.400,0.353,0.80)",-,-（注释仅指 35:5）,-,-,C
C01_EYE_ICON,C01_,114,"Color(0.878,0.812,0.616)",-,-（注释仅指 35:7）,-,-,C
C01_PANEL_A,C01_,116,"Color(0.055,0.149,0.125,0.86)",-,-（注释仅指 2:181）,-,-,C
C01_PANEL_LIGHT,C01_,117,"Color(0.098,0.212,0.180,0.74)",-,-（注释仅指 50:1）,-,-,C
C01_PANEL_B,C01_,118,"Color(0.078,0.204,0.169,0.55)",-,-（REPORT-headless:89 记『缺失token』）,-,-,C
C01_TEXT_JADE,C01_,119,"Color(0.435,0.906,0.769)",-,mockup:23/787 #6BC4B6(③ only),-,-,C
C01_LINE_GOLD,C01_,120,"Color(0.847,0.722,0.416,0.50)",-,mockup:22 #D6B16A@0.47(③ only),-,-,C
C01_SHADOW,C01_,122,"Color(0.031,0.098,0.078,0.60)",-,-（仅被 01首页/dock 期望表引用为近黑描边）,-,-,C
